#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
lesl21 14A 8 Kruppel even-skipped fushi-tarazu

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - Kr, channel 2 - eve, channel 3 - ftz>
394 26.06 62.63 13.53 8.73 32.27
395 26.36 40.43 12.37 6.14 31.53
396 26.21 55.74 13.57 6.83 34.65
397 26.58 26.17 11.04 5.38 28.66
398 26.33 44.03 13.76 6.74 35.97
399 26.56 54.02 12.19 7.58 33.79
400 26.66 48.89 13.15 6.81 34.42
401 26.60 33.38 11.03 5.13 32.81
402 26.56 62.36 12.62 14.24 31.29
403 26.93 37.13 12.72 5.86 33.38
404 26.87 51.96 13.04 7.27 29.54
405 27.23 28.30 11.57 5.68 31.14
406 26.85 56.49 12.94 9.04 33.51
407 26.54 58.66 13.75 13.25 29.25
408 27.05 69.81 11.67 148.54 27.53
409 26.82 45.24 13.57 7.19 34.05
410 27.07 76.93 11.49 125.37 25.40
411 26.99 11.73 7.17 3.26 26.42
412 27.08 58.99 12.81 11.72 31.52
413 27.07 31.21 12.03 5.23 30.18
414 27.30 65.73 12.82 121.18 27.98
415 27.01 22.75 10.36 5.40 26.91
416 27.16 73.51 11.87 153.46 26.89
417 27.05 39.13 11.64 6.40 34.56
418 27.16 43.08 13.11 6.38 34.93
419 27.09 18.09 8.78 4.43 28.00
420 27.12 61.38 11.12 16.88 32.56
421 27.33 34.54 11.86 5.86 32.66
422 27.25 19.80 9.62 4.87 27.71
423 27.88 47.92 13.08 8.37 33.20
424 27.61 14.95 8.79 5.08 25.15
425 28.05 51.41 13.09 10.71 33.73
426 27.75 79.64 11.66 112.88 26.45
427 28.01 44.12 12.52 8.07 36.02
428 27.62 39.60 11.86 6.57 34.57
429 27.86 25.53 11.42 5.36 29.23
430 27.94 20.37 9.66 5.60 26.00
431 28.16 22.61 9.85 6.16 27.29
432 27.98 31.90 11.29 6.41 30.24
433 27.96 37.98 11.70 6.52 33.72
434 28.24 62.45 13.20 162.88 27.50
435 28.26 41.26 12.97 8.21 36.80
436 28.29 58.77 12.91 74.66 28.42
437 28.06 29.50 10.88 6.60 30.29
438 28.19 68.20 12.94 205.87 28.55
439 28.33 73.67 12.71 141.14 28.59
440 28.28 76.70 11.78 134.35 25.43
441 28.18 34.37 10.81 7.34 29.56
442 28.46 81.98 11.38 81.91 25.55
443 28.45 18.02 9.97 6.02 26.60
444 28.23 53.39 12.50 10.58 32.83
445 28.65 70.84 13.46 143.30 27.46
446 28.54 46.60 12.00 9.06 36.11
447 28.89 65.64 13.55 199.32 28.96
448 28.84 32.20 10.20 6.60 29.93
449 29.02 35.91 11.77 8.32 33.47
450 28.93 25.07 10.14 6.07 27.36
451 29.07 28.50 11.68 6.75 29.77
452 29.14 49.46 12.58 14.28 33.78
