#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
ba3 14A 8 even-skipped Kruppel hunchback

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - Kr, channel 3 - hb>
422 31.00 64.13 178.88 29.84 135.20
423 30.99 68.35 95.29 28.13 132.21
424 31.08 34.05 47.00 22.78 142.12
425 31.12 18.36 69.89 15.81 101.65
426 31.10 27.66 34.54 19.00 121.10
427 31.17 81.37 29.52 19.33 70.20
428 31.55 10.50 108.69 10.71 53.55
429 31.28 16.05 88.69 15.13 82.50
430 31.38 48.33 225.12 29.93 146.02
431 31.36 61.26 168.80 29.95 134.24
432 31.32 23.49 47.71 18.10 74.94
433 31.40 31.68 61.29 21.98 137.76
434 31.55 76.16 44.26 24.81 119.53
435 31.71 79.16 34.98 25.23 110.69
436 31.50 20.56 101.67 16.50 108.47
437 31.54 40.99 99.80 26.06 178.70
438 31.62 50.88 231.68 30.20 170.20
439 31.67 72.34 54.63 26.15 124.47
440 31.91 13.99 144.90 13.60 77.82
441 31.62 38.51 158.49 23.94 155.85
442 31.76 55.52 213.81 32.42 175.61
443 31.68 58.42 183.76 30.79 145.48
444 31.75 66.26 100.15 30.05 153.74
445 31.77 26.31 119.12 19.65 120.32
446 31.89 35.69 159.39 23.46 136.96
447 32.01 69.52 54.19 28.78 127.46
448 32.04 89.17 35.43 18.52 58.82
449 31.90 29.21 122.92 19.84 93.24
450 32.06 44.50 232.41 29.32 148.57
451 32.26 86.37 29.81 19.93 79.54
452 32.28 22.36 163.94 18.85 121.98
453 32.15 83.66 30.62 21.76 100.48
454 32.09 63.33 122.63 29.48 137.69
455 32.11 33.62 177.50 23.73 79.05
456 32.31 53.25 218.30 31.69 148.40
457 32.18 18.30 142.02 15.30 71.47
458 32.44 46.53 235.90 31.90 196.66
459 32.64 24.90 177.41 19.81 133.42
460 32.41 31.35 214.74 22.98 151.35
461 32.47 60.41 105.78 31.37 171.80
462 32.50 40.41 234.30 30.53 170.26
463 32.63 48.83 227.19 30.49 144.46
464 32.58 74.46 37.32 26.42 115.11
465 32.54 37.79 228.24 25.94 121.82
466 32.85 27.45 179.72 21.13 95.63
467 32.88 67.59 43.03 30.39 150.05
468 32.83 77.30 32.35 22.80 96.97
469 32.84 57.79 110.02 31.65 164.41
470 32.87 71.42 39.00 25.55 92.57
471 33.12 9.55 118.99 12.83 68.69
472 32.89 16.22 141.84 14.71 79.96
473 33.07 19.94 173.72 18.41 101.43
474 32.97 42.24 219.65 31.55 192.68
475 33.02 65.03 46.50 27.47 144.77
476 32.92 51.20 152.71 30.56 171.51
477 32.91 80.57 33.09 23.57 91.38
478 33.00 12.15 136.70 12.48 72.83
479 32.96 55.32 108.47 30.95 166.01
480 33.18 35.62 224.02 25.91 136.44
481 33.14 90.41 67.52 17.39 27.83
482 33.57 30.52 194.46 23.63 121.54
483 33.19 62.41 60.33 29.48 159.36
484 33.22 33.29 215.95 25.01 147.23
485 33.24 44.76 222.42 29.14 169.48
486 33.26 13.82 130.47 13.10 70.14
487 33.35 83.88 46.64 22.89 83.32
488 33.48 87.08 103.82 21.31 70.47
489 33.76 69.22 34.53 28.63 114.80
490 33.44 21.97 176.50 19.64 107.69
491 33.61 38.19 218.16 26.59 122.40
492 33.55 17.78 136.43 16.29 104.24
493 33.67 73.77 32.89 27.49 127.77
494 33.69 79.06 35.13 26.07 100.65
495 33.79 59.19 61.85 30.97 157.65
496 33.79 47.27 161.46 30.53 189.73
497 33.86 53.15 83.25 29.13 164.33
498 33.84 23.17 149.32 20.87 128.52
499 33.89 40.21 177.00 28.73 172.53
500 33.87 50.11 124.40 32.12 187.40
501 33.94 25.38 146.84 20.44 86.33
502 34.07 15.32 117.02 15.78 88.98
503 34.04 56.12 73.14 32.19 167.92
504 34.15 71.32 35.21 29.09 136.03
505 34.18 76.26 35.29 27.57 120.75
506 34.03 81.67 43.60 26.33 103.33
507 34.18 27.70 170.50 23.86 126.44
508 34.15 66.59 40.86 30.75 135.03
509 34.32 90.43 135.24 23.77 57.85
510 34.28 42.31 136.66 28.49 190.64
511 34.30 64.25 42.04 32.23 147.44
512 34.24 11.32 99.37 12.95 73.67
513 34.27 61.81 41.57 30.75 161.56
514 34.55 84.43 161.32 24.54 94.05
515 34.35 34.04 164.84 25.18 134.86
516 34.29 44.62 156.72 31.99 190.21
517 34.30 17.93 112.58 15.98 97.82
518 34.53 36.43 163.80 27.56 166.52
519 34.55 20.61 125.06 17.67 97.77
520 34.43 9.11 52.11 11.26 27.55
521 34.65 88.34 166.67 27.69 93.66
522 34.80 29.89 121.58 22.40 130.67
523 34.84 48.95 72.22 30.19 173.00
524 34.96 51.82 72.54 32.94 177.33
525 34.85 59.99 50.22 33.33 150.00
526 34.90 78.25 53.49 30.69 121.18
527 35.00 23.42 100.34 20.96 132.95
528 35.07 38.68 124.89 28.27 174.29
529 34.95 57.37 46.00 32.52 157.83
530 35.02 73.57 44.67 29.36 126.31
531 35.08 46.03 75.41 30.58 178.65
532 35.14 54.46 44.15 30.82 157.64
533 35.17 67.94 36.91 32.56 146.20
534 35.13 14.01 67.20 15.29 100.27
535 35.26 16.34 75.90 15.16 102.98
536 35.14 40.82 106.43 31.52 159.72
537 35.32 25.86 101.09 21.99 109.96
538 35.25 32.25 106.16 24.42 153.08
539 35.28 70.42 41.37 30.21 121.42
540 35.45 88.04 143.38 30.28 78.85
541 35.58 8.14 37.19 11.33 52.12
542 35.54 81.72 179.27 32.24 100.97
543 35.33 65.29 40.00 34.42 113.97
544 35.45 10.87 41.24 12.98 70.45
545 35.61 19.00 68.25 17.92 107.44
546 35.48 62.52 38.81 34.41 170.14
547 35.50 28.07 84.10 24.84 97.64
548 35.57 43.27 60.18 31.06 181.56
549 35.45 12.94 55.74 15.29 98.65
550 35.66 34.56 91.70 25.20 155.75
551 35.86 92.24 73.80 25.23 28.77
552 35.77 75.32 89.09 32.00 123.78
553 35.87 36.67 79.09 28.26 172.32
554 35.80 59.54 38.00 32.62 154.64
555 35.95 21.42 62.47 17.69 94.80
556 35.92 47.52 43.64 32.48 168.21
557 35.97 50.43 45.68 32.99 177.94
558 36.03 30.39 60.47 22.62 148.06
559 36.04 56.16 40.25 33.61 167.24
560 36.05 85.28 170.47 31.00 64.00
561 36.22 78.49 185.23 33.05 111.99
562 36.15 52.96 44.22 33.22 155.77
563 36.09 72.15 86.87 33.89 149.89
564 36.30 23.76 46.13 21.13 135.58
565 36.20 40.88 46.56 29.51 183.68
566 36.33 66.59 45.07 34.74 148.70
567 36.40 38.42 49.20 28.92 123.55
568 36.37 64.13 44.23 36.26 165.42
