#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
nk14 14A 8 even-skipped Kruppel giant

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - Kr, channel 3 - gt>
242 19.41 15.94 8.00 5.84 67.82
243 19.55 26.49 13.15 10.89 115.92
244 19.53 48.09 17.64 18.73 159.47
245 19.55 53.49 18.55 18.35 164.23
246 19.38 21.90 10.23 9.10 98.16
247 19.20 77.89 14.62 8.54 18.46
248 19.70 68.77 16.21 14.19 76.36
249 19.64 18.76 10.33 7.88 98.64
250 19.83 59.70 17.05 19.40 169.01
251 19.71 38.98 15.52 16.77 154.75
252 19.96 50.51 17.50 17.24 159.89
253 20.00 62.23 17.27 15.96 151.20
254 19.80 76.46 14.57 9.32 29.04
255 20.13 45.80 17.49 20.76 171.50
256 20.16 64.93 15.69 14.47 124.38
257 20.15 73.28 15.61 10.86 45.79
258 20.19 36.59 15.53 18.11 148.71
259 20.26 78.59 14.09 9.17 23.14
260 20.41 41.50 16.54 16.76 171.08
261 20.39 33.82 14.69 15.29 134.98
262 20.41 31.31 13.70 13.60 124.54
263 20.43 28.78 13.20 12.71 126.16
264 20.63 57.87 17.98 17.67 166.63
265 20.18 75.34 16.17 10.28 35.11
266 20.52 24.17 11.74 9.38 102.14
267 20.70 55.32 18.14 17.15 195.81
268 20.71 21.08 10.62 8.54 92.83
269 20.78 43.66 17.70 18.08 170.51
270 20.74 70.49 15.83 11.49 54.95
271 20.90 81.87 13.58 7.43 20.30
272 20.93 52.69 19.41 17.38 181.44
273 20.92 67.10 16.09 16.18 101.12
274 20.76 17.78 9.52 7.81 81.63
275 21.06 39.11 15.87 16.02 152.87
276 20.98 47.71 17.06 16.84 177.43
277 21.20 26.68 13.92 10.86 116.22
278 21.18 75.39 15.27 9.80 34.62
279 21.42 79.34 15.34 8.84 29.52
280 21.43 36.08 14.74 15.08 138.87
281 21.46 61.85 17.06 16.62 151.38
282 21.49 50.14 18.98 16.50 188.00
283 21.59 59.33 17.15 16.58 170.28
284 21.58 64.40 17.21 14.76 125.20
285 21.69 72.77 16.41 11.45 58.29
286 21.78 45.36 17.85 17.62 171.24
287 21.77 24.37 12.70 10.43 101.70
288 21.86 31.65 13.48 12.75 126.24
289 21.80 69.11 16.71 12.56 77.46
290 21.87 19.14 10.64 8.33 80.62
291 21.91 29.25 14.07 12.07 114.86
292 21.99 34.11 15.12 14.70 134.71
293 21.94 21.89 11.87 9.24 85.89
294 21.93 41.91 17.02 16.09 164.70
295 22.01 55.86 18.01 15.89 158.86
296 21.92 16.19 9.61 6.81 68.82
297 21.96 76.87 15.06 9.40 40.54
298 22.15 52.96 18.63 16.98 179.00
299 22.29 38.00 15.91 15.00 141.64
300 22.36 48.27 19.55 16.42 187.72
301 22.30 66.48 16.56 13.86 103.91
302 22.32 81.85 14.26 8.56 28.99
303 22.66 26.92 13.34 11.31 95.22
304 22.75 71.21 16.12 11.55 68.38
305 22.85 58.17 17.92 15.95 158.38
306 22.94 39.92 16.94 17.36 139.92
307 22.93 60.62 16.97 16.02 138.97
308 22.92 62.97 17.53 15.09 122.06
309 22.85 74.41 15.38 10.61 50.71
310 22.79 79.17 15.44 9.36 39.09
311 22.75 14.70 9.67 6.12 61.44
312 22.97 43.89 18.58 17.20 149.95
313 23.05 50.83 18.27 16.93 168.34
314 22.68 76.70 16.23 10.43 42.98
315 23.01 17.69 11.10 8.00 73.02
316 23.19 20.80 11.37 8.80 76.94
317 22.99 23.71 13.11 10.06 92.70
318 23.17 46.52 18.17 16.43 167.95
319 23.16 68.41 17.77 13.59 86.62
320 23.22 30.86 14.36 12.90 106.77
321 23.20 33.70 15.52 13.11 116.80
322 23.41 65.06 16.82 14.09 102.99
323 23.45 37.18 15.56 14.90 117.52
324 23.34 83.37 14.00 7.52 28.13
325 23.43 53.52 18.54 17.53 165.86
326 23.51 56.01 18.21 19.02 162.01
327 23.58 28.46 14.35 12.33 98.89
328 23.60 41.83 17.53 16.26 126.83
329 23.75 80.47 16.03 9.07 38.53
330 23.72 76.85 16.25 9.89 40.57
331 23.97 48.80 19.65 16.60 132.79
332 23.86 72.58 16.45 11.97 60.78
333 23.84 15.86 11.58 7.84 71.40
334 23.91 25.67 13.56 11.15 87.48
335 24.11 13.74 9.31 5.62 53.14
336 24.08 70.08 17.66 12.99 76.27
337 24.23 35.49 17.10 15.35 122.43
338 24.03 75.37 16.60 11.69 56.80
339 24.22 61.21 19.00 16.81 121.20
340 23.96 77.90 14.48 9.29 37.57
341 24.30 19.27 11.86 8.63 72.16
342 24.27 58.20 18.41 16.57 123.31
343 24.26 22.61 12.18 10.37 84.96
344 24.42 45.73 18.54 16.30 128.48
345 24.31 66.84 17.97 14.27 86.45
346 24.48 39.90 17.45 16.14 118.21
347 24.43 32.96 14.89 14.17 108.58
348 24.40 51.70 19.56 17.72 130.85
349 24.58 43.17 18.88 16.19 120.84
350 24.62 30.65 15.41 12.90 103.44
351 24.67 63.86 18.19 15.26 115.47
352 24.51 74.21 17.76 11.31 65.29
353 24.56 82.55 15.62 8.06 41.09
354 24.66 54.83 19.56 16.53 136.36
355 24.68 16.14 11.58 7.33 67.30
356 24.85 27.95 14.70 12.26 95.34
357 24.98 37.70 17.49 16.15 112.60
358 24.79 79.53 17.06 9.62 51.62
359 24.94 76.11 15.92 11.12 56.64
360 25.08 24.75 13.33 10.66 90.08
361 25.29 77.15 18.69 11.16 58.38
362 25.19 48.04 20.46 17.51 124.11
363 25.15 68.80 17.45 13.79 79.53
364 25.24 71.56 18.07 13.03 73.43
365 25.39 18.51 12.53 9.06 77.84
366 25.39 58.97 19.43 16.50 116.45
367 25.44 50.59 19.62 18.80 120.03
368 25.41 85.29 13.30 6.85 37.32
369 25.42 21.62 13.17 9.76 91.62
370 25.57 56.44 19.76 16.94 116.81
371 25.52 35.34 17.05 15.39 100.96
372 25.58 53.25 20.15 16.94 126.86
373 25.40 61.68 19.07 15.43 93.22
374 25.51 65.73 18.04 15.03 89.47
375 25.50 73.87 18.74 11.98 70.07
376 25.63 41.97 18.92 15.57 119.57
377 25.67 15.05 13.63 7.16 81.84
378 25.57 44.70 18.90 17.69 125.04
379 25.61 83.06 16.10 9.29 50.49
380 25.70 32.87 16.07 13.35 103.97
381 25.77 30.25 14.85 13.59 108.34
382 25.85 39.61 18.26 17.70 108.57
383 25.88 80.29 19.08 10.09 57.74
384 25.92 27.00 15.34 13.08 89.89
385 26.15 63.52 20.14 15.39 97.37
386 26.20 46.60 20.84 18.55 111.73
387 26.18 69.88 19.58 13.51 80.51
388 26.19 67.46 20.58 15.00 87.06
389 26.32 24.61 15.80 11.10 90.48
390 26.33 37.34 19.08 16.61 107.21
391 26.40 49.07 20.31 17.89 112.71
392 26.49 77.86 19.30 11.37 66.76
393 26.53 19.71 16.30 9.25 81.20
394 26.40 60.31 19.62 17.13 101.59
395 26.46 75.16 19.20 12.08 67.03
396 26.63 54.71 22.13 18.21 114.64
397 26.66 22.35 16.93 10.78 97.24
398 26.61 51.82 18.74 18.40 114.60
399 26.72 57.47 20.99 16.93 113.45
400 26.67 72.34 19.30 12.92 79.35
401 26.70 29.04 16.54 13.95 101.30
402 26.73 44.13 19.58 17.66 113.43
403 26.78 11.69 23.76 7.09 86.34
404 26.82 34.75 18.87 15.19 106.72
405 26.82 85.13 20.02 7.72 57.14
406 26.82 41.41 19.89 17.23 114.41
407 26.73 82.46 22.65 10.11 74.06
408 26.63 16.65 16.24 8.44 86.95
409 26.81 32.31 18.38 14.38 107.72
410 27.02 64.76 20.32 14.56 79.64
411 27.22 39.21 18.96 16.31 110.69
412 27.30 26.59 18.44 12.09 100.61
413 27.29 62.22 22.14 17.12 98.96
414 27.15 79.50 26.27 10.54 75.77
415 27.22 67.11 21.19 14.98 90.89
416 27.24 69.84 20.94 13.75 94.40
417 27.38 14.12 35.26 7.64 102.89
418 27.26 46.70 20.49 17.70 106.99
419 27.40 49.86 21.33 18.63 110.16
420 27.16 16.34 22.52 7.81 89.48
421 27.49 18.62 21.92 9.94 96.15
422 27.41 59.75 21.93 17.66 100.80
423 27.44 76.04 23.70 11.00 74.79
424 27.61 30.92 21.65 14.25 109.42
425 27.44 36.83 20.17 15.93 113.45
426 27.41 80.65 28.65 9.74 70.85
427 27.66 24.38 21.85 11.66 108.43
428 27.65 52.59 23.03 19.60 115.47
429 27.61 55.49 22.52 17.65 109.84
430 27.65 43.18 20.70 17.01 124.81
431 27.72 21.29 22.18 10.37 105.68
432 27.74 73.66 24.69 13.31 87.00
433 27.77 28.71 21.07 13.97 118.39
434 27.83 82.91 60.66 8.82 77.74
435 28.01 71.39 24.69 14.01 99.80
436 28.12 77.90 49.43 12.10 101.16
437 28.18 85.52 104.67 9.22 86.22
438 28.05 33.18 23.20 15.12 129.70
439 28.05 58.03 23.29 18.16 111.85
440 28.04 11.40 81.65 8.00 99.49
441 28.31 16.14 68.78 9.57 106.07
442 28.07 18.04 40.52 9.30 104.10
443 28.17 48.24 23.03 18.67 123.08
444 28.19 65.56 22.56 16.10 103.50
445 28.24 35.33 22.18 15.53 119.51
446 28.10 40.78 23.04 17.36 114.97
447 28.19 45.47 24.27 18.01 121.09
448 28.30 63.16 25.36 17.22 100.25
449 28.23 68.12 24.34 15.45 107.48
450 28.58 79.63 126.87 11.73 93.36
451 28.49 38.22 26.21 16.93 130.32
452 28.55 50.84 25.22 19.07 122.77
453 28.46 53.85 25.74 18.54 119.23
454 28.44 60.69 24.04 18.55 112.71
455 28.50 81.00 109.33 10.51 88.02
456 28.54 13.47 86.25 8.17 121.17
457 28.69 56.37 24.73 18.22 129.89
458 28.69 23.25 53.93 11.23 129.09
459 28.67 27.88 33.01 13.09 125.63
460 28.64 75.23 81.92 13.26 115.71
461 28.98 25.51 99.72 13.77 131.61
462 28.85 20.56 84.92 11.38 129.39
463 28.74 30.92 35.59 15.11 132.97
464 28.76 42.95 26.38 17.74 123.50
