#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
nb11 14A 8 even-skipped Kruppel giant

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - Kr, channel 3 - gt>
301 22.69 61.14 25.31 16.69 48.91
302 22.57 65.74 24.12 14.64 45.27
303 22.73 41.71 20.67 14.44 115.40
304 22.96 23.46 16.56 12.67 133.75
305 22.81 27.08 18.23 12.92 131.71
306 22.82 32.75 18.47 15.14 138.32
307 22.77 37.08 18.44 14.30 133.32
308 22.66 12.21 12.09 8.25 78.59
309 23.10 14.79 14.31 8.95 99.69
310 22.88 54.88 22.92 16.29 54.16
311 22.95 68.31 27.02 15.93 58.52
312 22.78 43.48 15.08 14.15 81.08
313 23.18 57.10 25.14 15.85 55.74
314 23.18 79.82 20.70 11.04 50.70
315 23.20 39.48 21.93 15.18 109.13
316 23.32 70.70 30.54 13.81 70.78
317 23.56 34.89 18.98 14.40 122.97
318 23.42 77.19 23.54 13.18 69.68
319 22.98 20.12 16.93 11.80 101.87
320 23.31 63.46 28.75 15.05 56.95
321 23.52 59.16 26.67 14.97 60.34
322 23.25 82.08 22.56 11.18 52.90
323 23.37 20.90 14.58 12.75 108.00
324 23.73 52.98 24.62 16.03 66.08
325 23.56 45.32 22.83 15.81 80.84
326 23.71 48.25 23.72 16.02 71.29
327 23.71 50.60 23.51 15.65 63.21
328 23.84 30.95 18.99 12.21 105.40
329 23.76 73.23 31.83 13.42 73.14
330 23.81 18.57 14.54 11.13 95.89
331 23.80 42.25 22.08 15.26 94.58
332 23.67 65.61 39.44 16.29 59.39
333 23.72 19.88 14.59 11.73 89.64
334 24.05 25.47 16.71 12.57 97.79
335 23.92 61.09 40.29 14.11 67.69
336 24.28 22.38 17.40 12.04 113.34
337 24.13 28.10 18.48 13.36 110.65
338 24.22 36.98 20.23 14.35 102.54
339 24.18 55.61 29.39 15.41 64.59
340 24.41 32.89 18.83 13.40 113.12
341 24.15 67.78 93.74 14.36 79.50
342 24.19 17.24 14.66 10.22 94.71
343 24.37 39.42 22.17 15.51 84.56
344 24.28 75.07 40.65 14.08 83.75
345 24.37 62.78 124.19 16.42 66.11
346 24.40 79.69 42.42 11.40 84.79
347 24.52 70.32 123.96 15.39 94.67
348 24.64 15.26 15.71 9.58 81.61
349 24.55 57.94 53.58 15.89 82.71
350 24.68 43.86 24.14 16.44 82.94
351 24.55 46.39 24.68 16.57 76.00
352 24.72 78.07 59.17 12.90 89.25
353 24.67 83.19 69.55 10.95 81.64
354 24.49 16.16 16.11 9.22 98.44
355 24.76 65.23 192.11 15.80 77.72
356 24.62 81.32 63.98 13.02 95.51
357 24.92 51.11 24.59 15.75 70.12
358 24.94 20.24 17.77 11.87 88.14
359 24.81 49.01 23.84 16.62 72.07
360 25.03 60.09 161.28 16.15 74.30
361 25.03 53.54 32.95 17.18 80.53
362 24.99 41.50 23.22 15.28 75.34
363 25.06 72.97 133.82 15.02 94.09
364 25.10 13.85 14.74 8.45 69.55
365 25.12 29.88 18.54 13.71 78.62
366 25.20 35.12 20.76 13.78 89.10
367 25.38 75.87 135.63 15.05 128.91
368 25.22 26.88 18.89 12.05 97.27
369 25.13 48.04 24.00 15.00 75.90
370 25.18 11.35 14.52 8.48 62.79
371 25.33 18.01 16.29 10.44 83.05
372 25.31 24.05 18.79 11.42 102.32
373 25.39 67.60 205.99 15.41 98.88
374 25.36 55.67 54.13 16.88 95.75
375 25.64 37.91 22.13 13.99 75.00
376 25.71 45.42 25.31 15.91 79.51
377 25.53 32.52 18.19 12.86 93.99
378 25.75 57.77 208.74 16.81 106.50
379 25.59 62.45 223.77 17.36 97.37
380 25.60 81.15 99.58 14.35 119.32
381 25.80 70.09 184.21 15.26 114.66
382 25.70 43.28 21.66 15.55 70.98
383 25.96 78.66 136.55 15.09 139.79
384 25.83 11.96 11.16 7.21 59.81
385 26.02 15.47 15.50 9.25 64.55
386 26.02 21.71 17.26 11.25 79.94
387 26.07 83.36 53.85 12.44 133.11
388 26.28 47.44 30.33 16.91 85.43
389 26.02 49.60 29.07 14.92 91.07
390 26.21 40.58 22.68 14.95 78.43
391 26.09 51.69 38.34 14.95 94.92
392 26.13 65.12 215.35 16.27 112.36
393 26.14 28.16 19.46 12.42 80.57
394 26.39 72.85 109.88 16.15 166.07
395 26.11 53.74 65.09 16.57 116.74
396 26.27 35.93 22.50 13.59 75.70
397 26.44 60.12 217.49 17.79 127.42
398 26.36 25.04 18.97 13.90 84.24
399 26.31 30.77 21.57 14.09 82.46
400 26.44 55.42 213.44 18.26 114.90
401 26.47 18.38 15.84 9.74 69.92
402 26.63 33.59 20.65 13.16 82.84
403 26.64 13.41 14.53 8.35 55.34
404 26.61 75.47 75.68 15.10 142.50
405 26.73 43.17 25.35 16.11 83.10
406 26.80 67.70 149.82 16.06 135.10
407 26.77 84.25 35.85 12.96 120.07
408 26.72 12.08 15.50 10.58 54.42
409 26.82 62.84 195.29 18.95 150.54
410 26.93 20.40 17.79 10.77 83.89
411 27.13 38.34 25.26 14.84 80.29
412 27.16 52.37 200.58 17.42 122.09
413 27.13 45.18 33.84 15.59 103.65
414 27.09 57.46 225.96 19.16 157.29
415 26.95 77.31 66.00 15.06 133.26
416 27.18 70.16 136.36 16.47 150.75
417 27.14 23.59 19.09 11.47 75.86
418 27.08 49.59 56.09 15.58 120.73
419 26.96 80.53 45.52 12.40 133.98
420 27.25 26.56 18.84 12.20 77.79
421 27.23 16.04 17.04 9.45 62.33
422 27.28 22.36 18.82 12.00 81.98
423 27.35 28.92 19.59 11.50 80.05
424 27.45 78.54 47.07 15.23 140.18
425 27.44 36.10 24.75 13.95 87.98
426 27.78 54.56 230.12 16.94 144.33
427 27.47 65.71 138.68 17.80 162.60
428 27.50 31.30 21.39 12.70 89.62
429 27.58 40.92 31.63 14.45 103.98
430 27.50 47.09 58.19 17.06 122.45
431 27.74 61.19 174.08 19.06 180.31
432 27.75 75.29 47.25 15.57 142.04
433 27.80 72.73 59.34 16.91 149.85
434 27.48 81.38 36.26 13.89 127.95
435 27.57 18.48 17.47 10.62 74.77
436 27.67 12.68 17.03 8.85 64.11
437 27.84 83.05 27.55 13.56 93.46
438 27.90 33.80 24.76 13.71 92.60
439 27.93 59.00 173.68 17.96 174.16
440 27.97 24.86 20.98 12.33 72.75
441 28.08 43.00 65.22 16.22 126.17
442 28.03 50.36 224.87 18.50 156.92
443 28.16 63.73 110.21 18.96 176.26
444 28.07 48.18 179.74 15.89 139.02
445 28.13 15.08 19.07 10.11 76.98
446 28.29 45.04 161.77 16.78 127.88
447 28.36 67.96 71.17 17.32 126.12
448 28.38 85.33 20.36 10.94 60.54
449 28.45 80.08 30.29 15.78 123.63
450 28.20 18.23 19.69 10.50 78.92
451 28.53 22.22 22.35 11.41 77.91
452 28.55 26.85 23.26 11.43 82.35
453 28.43 40.08 65.22 18.02 127.86
454 28.34 70.18 86.22 17.26 131.96
455 28.62 31.70 27.93 13.84 90.14
456 28.60 56.80 170.33 18.55 188.05
457 28.40 13.65 20.79 9.36 76.21
458 28.56 16.97 20.26 10.08 72.80
459 28.75 29.23 26.14 12.32 89.30
460 28.76 76.57 31.09 15.43 126.25
461 28.72 35.53 39.78 15.12 107.79
462 28.68 37.47 47.57 14.63 109.82
463 28.79 52.28 212.94 18.83 194.73
464 28.76 78.24 32.71 14.98 118.31
465 29.13 46.94 225.16 17.89 161.85
466 29.01 65.63 60.10 18.43 131.67
467 28.95 11.00 18.54 7.38 54.41
468 28.93 60.13 114.72 19.78 188.25
469 29.02 42.17 196.01 16.75 131.24
470 29.25 49.63 213.54 19.40 196.32
471 29.04 82.51 25.05 14.26 88.15
472 29.12 72.02 36.19 18.09 128.52
473 29.23 62.59 65.02 19.74 144.67
474 29.23 74.43 34.65 17.40 121.03
475 29.20 33.28 40.10 14.16 116.37
476 29.23 12.69 21.78 7.73 76.12
477 29.12 39.32 158.70 15.47 139.55
478 29.21 54.85 160.13 20.38 193.04
479 29.60 84.67 26.06 12.83 65.56
480 29.31 18.64 24.64 11.45 82.90
481 29.37 25.18 31.81 10.87 88.76
482 29.57 44.41 223.47 19.11 186.86
483 29.41 69.37 40.23 16.54 103.00
484 29.55 15.84 32.63 10.19 90.15
485 29.57 30.54 49.39 13.64 113.89
486 29.70 57.96 81.73 20.45 188.02
487 29.62 23.06 30.91 10.93 87.16
488 29.70 20.81 39.19 11.37 93.83
489 29.73 34.68 101.16 15.23 137.51
490 29.71 80.57 30.11 17.12 77.48
491 29.74 27.60 50.78 12.74 108.40
492 29.98 66.67 38.70 17.64 101.89
493 29.83 78.46 26.90 15.74 89.00
494 30.02 40.10 222.00 16.16 179.43
495 30.08 53.70 125.25 20.45 219.80
496 30.06 77.18 27.52 16.00 87.92
497 30.40 37.78 204.98 14.29 176.07
498 30.15 51.42 167.09 18.61 220.08
499 30.16 60.76 49.28 19.20 153.56
500 30.43 42.03 209.82 18.45 215.60
501 29.92 75.96 27.86 15.07 91.21
502 30.35 32.33 198.10 14.77 137.59
503 30.25 63.75 40.47 18.02 111.55
504 30.29 12.00 50.10 8.59 75.15
505 30.45 56.07 60.31 20.90 186.02
506 30.33 72.14 31.41 18.78 99.36
507 30.21 82.83 34.33 16.07 70.29
508 30.33 48.62 184.61 19.66 225.37
509 30.47 74.88 31.49 17.20 90.61
510 30.35 25.32 103.14 11.81 134.32
511 30.49 69.28 31.99 19.35 103.68
512 30.54 17.07 133.18 10.70 115.29
513 30.53 29.57 194.94 14.02 141.78
514 30.59 35.33 209.36 15.73 160.59
515 30.54 10.53 71.58 7.44 77.53
516 30.66 19.09 155.77 10.94 123.05
517 30.78 87.00 109.56 16.27 31.25
518 30.49 14.30 66.09 9.23 98.21
519 30.46 23.07 134.64 10.57 111.14
520 30.68 45.98 149.65 18.60 231.93
521 30.76 27.40 200.36 13.06 133.10
522 30.68 21.19 158.75 11.15 126.96
523 30.95 43.78 179.91 19.44 224.82
524 30.84 58.64 47.57 20.51 144.68
525 30.97 77.85 46.47 17.20 60.71
526 31.16 83.62 148.91 16.30 35.94
527 31.34 64.25 31.56 19.85 102.48
528 31.16 67.13 37.11 20.12 85.69
529 31.26 50.65 120.34 19.13 225.83
530 31.27 53.29 65.97 19.10 199.94
531 31.35 61.55 33.51 19.71 120.38
532 31.38 39.38 178.03 17.69 224.17
533 31.52 14.60 175.66 10.71 154.87
534 31.40 47.95 88.73 18.79 230.87
535 31.47 70.76 31.10 19.00 76.37
536 31.46 73.22 34.62 19.93 69.72
537 31.52 12.26 141.87 8.92 114.08
538 31.51 23.12 193.19 12.70 167.46
539 31.46 25.78 201.91 13.04 177.44
540 31.22 76.53 41.06 17.25 58.81
541 31.53 79.21 91.02 18.28 50.05
542 31.52 81.02 124.62 18.01 40.04
543 31.52 33.67 218.50 16.26 204.01
544 31.73 9.94 160.88 8.87 119.06
545 31.91 89.56 135.36 16.29 15.34
546 31.48 58.78 50.96 22.00 147.19
547 31.56 75.41 44.55 18.23 64.74
548 31.83 31.32 181.49 15.10 213.70
549 31.83 29.05 175.95 14.48 214.97
550 31.78 36.46 174.46 16.26 216.53
551 31.70 41.43 144.45 19.02 214.02
552 31.87 18.40 159.59 11.25 141.73
553 31.76 20.63 187.04 12.16 156.55
554 31.83 17.06 156.53 10.86 140.31
555 31.88 56.78 38.28 20.36 151.17
556 32.14 45.47 62.11 20.03 216.40
557 32.13 43.30 94.39 20.14 236.28
558 32.18 66.03 31.48 19.32 83.55
559 32.25 68.84 33.38 20.35 69.08
560 32.30 76.96 157.30 19.31 38.22
561 32.15 59.38 35.03 17.66 103.22
562 32.41 52.16 46.43 21.02 205.93
563 32.36 86.02 157.80 21.08 21.92
564 32.40 49.96 70.27 20.82 212.20
565 32.39 54.56 39.02 20.55 164.92
566 32.52 38.94 91.25 18.28 227.32
567 32.45 61.97 32.43 21.12 91.23
568 32.54 24.91 147.82 14.19 213.31
569 32.68 82.94 170.68 20.93 22.80
570 32.62 27.47 137.22 14.61 217.97
571 32.61 47.38 53.89 20.24 208.59
572 32.59 73.88 127.88 19.34 40.12
573 32.49 33.50 129.73 17.22 205.29
574 32.55 71.27 47.14 21.19 62.61
575 32.83 41.47 70.51 18.23 210.45
576 33.03 79.69 183.83 20.95 28.13
577 32.95 64.29 34.84 23.19 73.32
578 32.89 22.05 121.96 13.35 206.82
579 32.89 12.17 125.74 10.52 160.36
580 32.95 14.34 127.70 10.53 182.81
581 32.94 19.55 133.56 13.32 194.73
582 32.84 35.83 112.53 17.73 223.30
583 33.19 9.31 112.14 9.37 170.35
584 32.97 30.52 87.57 15.14 207.54
585 33.08 16.85 109.10 11.33 171.74
586 33.10 56.82 33.44 21.22 118.41
587 33.18 59.75 32.99 22.56 98.10
588 33.18 87.85 117.20 21.59 17.27
589 33.37 43.94 43.46 18.71 221.13
590 33.16 66.97 41.04 22.30 60.89
591 33.50 48.73 43.88 22.15 201.16
592 33.33 69.24 82.54 22.92 44.29
593 33.45 53.87 33.19 19.44 134.01
594 33.47 90.36 80.16 20.45 11.34
595 33.49 32.91 75.75 16.75 221.84
596 33.53 37.47 61.92 18.61 223.39
597 33.67 71.88 194.01 21.75 31.14
598 33.32 40.59 60.07 18.93 220.43
599 33.60 25.69 98.52 14.58 218.44
600 33.69 28.29 88.38 15.07 213.82
601 33.65 77.14 203.95 23.57 25.17
602 33.66 62.22 37.21 22.56 72.78
603 33.69 46.02 34.18 19.18 183.21
604 33.70 51.21 33.45 21.92 157.75
605 33.51 86.32 127.25 24.42 16.98
606 33.75 84.61 120.30 26.26 16.16
607 34.01 39.75 42.67 19.46 213.97
608 34.13 74.53 195.15 24.23 25.94
609 34.03 81.74 128.95 20.86 18.18
610 34.02 23.39 70.08 14.54 188.88
611 34.09 35.16 60.52 16.67 207.65
612 34.22 42.02 34.80 19.42 205.85
