#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
kf9 14A 8 even-skipped Kruppel hunchback

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - Kr, channel 3 - hb>
420 30.92 77.87 48.89 19.91 135.89
421 31.05 25.36 151.79 21.12 187.95
422 31.05 51.61 207.05 27.53 174.48
423 31.02 28.12 147.68 21.75 184.83
424 31.03 70.28 109.54 24.73 155.39
425 31.08 40.04 197.02 27.01 193.15
426 31.05 54.44 207.77 28.21 167.01
427 31.02 57.08 205.21 29.89 195.39
428 31.15 67.79 155.50 24.53 179.91
429 31.09 33.30 111.89 25.96 203.73
430 31.20 12.07 93.57 13.09 63.93
431 31.31 49.26 234.14 30.21 202.40
432 31.42 86.07 21.65 15.62 75.98
433 31.52 18.49 180.04 18.80 146.65
434 31.33 74.93 55.45 23.61 153.55
435 31.38 35.91 156.73 25.01 214.55
436 31.58 44.12 229.22 28.41 195.34
437 31.48 61.88 196.26 28.14 174.85
438 31.64 41.90 223.04 27.36 199.26
439 31.57 83.24 24.08 17.72 93.28
440 31.73 72.11 55.78 22.41 148.44
441 31.76 38.02 212.99 27.36 196.03
442 31.79 46.82 227.14 27.02 191.51
443 31.72 15.07 163.79 18.30 128.64
444 31.92 58.86 194.87 29.70 179.47
445 31.99 80.44 27.33 19.04 108.59
446 32.02 88.97 16.87 15.54 47.44
447 32.02 26.93 184.59 22.99 179.40
448 32.04 31.70 205.77 25.68 190.18
449 31.97 53.01 216.29 29.15 196.46
450 32.13 21.36 172.79 19.28 154.30
451 32.06 65.97 101.80 25.02 174.75
452 32.33 29.27 212.15 23.48 181.05
453 32.13 34.47 207.44 26.22 192.18
454 32.14 56.10 200.42 29.23 192.02
455 32.28 63.61 146.05 25.91 182.56
456 32.26 24.17 189.91 20.97 153.16
457 32.21 69.24 50.14 24.69 150.40
458 32.22 77.35 31.76 21.42 129.92
459 32.25 16.13 163.76 17.66 133.38
460 32.30 50.05 207.12 31.32 189.28
461 32.50 40.08 221.79 26.11 190.52
462 32.59 12.92 124.75 16.89 92.33
463 32.57 74.46 32.18 22.97 148.74
464 32.63 45.11 206.25 30.80 205.53
465 32.62 60.88 140.68 28.01 179.85
466 32.91 86.69 21.31 17.94 88.05
467 32.88 42.80 198.37 29.83 210.13
468 32.87 84.07 21.40 19.86 93.67
469 32.92 18.75 137.62 18.29 155.31
470 32.88 37.75 209.05 27.45 193.39
471 33.00 47.45 199.27 32.17 198.74
472 32.95 54.30 168.98 33.57 211.36
473 32.98 67.15 45.26 25.32 164.97
474 32.98 71.68 33.59 24.15 142.17
475 33.06 33.13 215.11 27.86 194.54
476 33.22 35.63 206.05 27.88 177.33
477 33.09 51.95 170.19 31.73 212.77
478 33.08 57.88 148.03 29.01 198.40
479 33.19 79.17 26.09 21.91 117.90
480 33.46 81.57 22.70 21.50 101.52
481 33.27 26.54 183.19 21.88 172.45
