#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
rf6 14A 8 even-skipped Kruppel hunchback

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - Kr, channel 3 - hb>
544 36.28 48.98 37.36 27.09 127.59
545 36.38 20.62 41.04 24.21 111.10
546 36.38 45.07 32.07 26.65 128.51
547 36.45 80.33 162.09 33.31 85.43
548 36.45 39.73 39.62 26.27 122.76
549 36.33 64.27 44.31 22.36 115.08
550 36.45 11.61 24.33 21.51 54.49
551 36.46 61.50 38.54 23.49 114.16
552 36.62 42.37 35.30 27.31 120.24
553 36.83 37.25 36.53 27.87 133.17
554 36.71 58.59 34.43 24.51 92.21
555 36.87 15.95 33.00 23.19 111.85
556 36.84 31.44 33.71 26.13 137.54
557 36.82 34.34 33.02 26.12 128.85
558 36.90 28.48 34.98 26.69 120.63
559 36.99 85.92 71.29 31.20 37.89
560 37.10 75.34 153.53 29.15 49.26
561 37.20 46.74 33.93 29.31 125.79
562 37.05 55.93 33.95 26.15 109.80
563 37.24 67.51 203.81 27.61 82.22
564 37.15 70.22 190.60 29.09 77.64
565 37.12 53.11 31.85 25.37 109.19
566 37.19 50.23 37.99 26.82 118.33
567 37.15 82.56 93.30 32.90 48.84
568 37.54 13.59 23.21 23.58 87.65
569 37.35 64.97 192.87 29.65 84.56
570 37.47 19.18 27.80 23.99 112.02
571 37.50 62.44 204.50 27.60 98.80
572 37.46 89.28 42.39 40.05 31.32
573 37.42 9.30 13.52 19.67 15.93
574 37.53 22.18 26.74 25.27 116.78
575 37.35 25.15 30.72 24.89 96.48
576 37.46 73.11 153.68 34.30 68.63
577 37.56 77.99 123.08 36.50 67.05
578 37.51 60.15 86.30 28.92 122.02
579 37.68 43.93 31.58 28.70 120.93
580 37.67 40.85 32.70 28.35 116.74
581 37.92 35.58 33.27 31.45 131.93
582 37.82 58.06 56.28 26.50 122.07
583 38.00 29.88 30.24 27.12 125.12
584 37.93 32.80 29.79 27.98 128.51
585 37.96 38.22 31.56 28.84 125.20
586 37.98 80.69 79.67 43.09 63.10
587 37.86 11.51 20.90 22.00 46.32
588 37.93 48.18 46.57 30.77 129.94
589 38.02 16.37 26.84 25.03 108.50
590 38.14 27.15 29.58 27.71 129.02
591 38.23 83.64 82.07 51.50 73.02
592 38.14 51.36 129.04 34.24 112.05
593 38.12 53.87 75.17 32.37 125.92
594 38.34 55.83 176.77 31.81 109.08
595 38.21 85.54 55.10 55.80 69.24
596 38.41 24.14 29.20 26.51 132.00
597 38.32 71.36 118.52 41.18 92.74
598 38.30 87.02 38.46 44.66 38.37
599 38.56 68.68 169.45 40.08 95.89
600 38.64 9.56 22.22 23.06 50.16
601 38.44 45.78 50.54 31.89 97.04
602 38.49 65.71 200.41 36.09 92.17
603 38.50 90.46 23.71 48.65 21.68
604 38.67 74.09 91.51 47.87 86.67
605 38.64 62.82 190.79 38.62 76.01
606 38.82 76.18 77.09 43.47 61.43
607 38.70 60.01 214.61 33.79 97.66
608 38.75 18.45 28.16 24.61 114.58
609 38.80 21.44 31.38 26.99 113.58
610 38.63 42.70 45.28 31.52 109.33
611 38.77 48.82 183.38 33.06 101.16
