#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
ra7 14A 8 even-skipped Kruppel giant

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - Kr, channel 3 - gt>
359 26.29 68.26 29.80 13.34 82.88
360 26.33 33.94 19.54 13.62 100.68
361 26.30 17.49 14.71 9.17 67.24
362 26.35 24.51 17.40 10.95 78.72
363 26.42 52.90 21.57 14.09 93.48
364 26.60 70.93 129.01 13.07 87.55
365 26.58 76.22 196.33 13.20 86.95
366 26.54 45.18 21.45 14.47 104.29
367 26.62 42.52 21.31 13.20 96.29
368 26.63 59.86 22.29 13.45 86.31
369 26.66 80.92 109.38 11.25 72.81
370 26.62 28.97 18.69 12.37 76.04
371 26.75 39.69 21.39 13.35 101.43
372 26.33 63.22 20.75 13.25 78.25
373 26.65 20.31 16.49 10.48 78.24
374 26.73 65.85 28.98 12.63 87.37
375 26.78 26.60 17.62 9.93 71.60
376 26.72 78.81 158.73 11.92 76.48
377 27.07 63.70 26.15 13.52 92.60
378 27.00 12.98 13.48 8.34 62.04
379 26.98 15.03 16.19 9.43 75.51
380 26.99 51.26 22.60 14.62 98.53
381 27.24 55.18 24.24 14.67 98.32
382 27.21 16.38 16.03 8.79 77.74
383 27.14 32.42 20.00 11.97 97.95
384 27.21 49.00 23.95 15.11 105.36
385 27.25 57.66 25.26 14.96 96.42
386 27.25 73.97 227.56 13.02 116.71
387 27.23 61.44 25.86 14.21 88.07
388 27.38 83.10 118.13 11.13 113.82
389 27.41 35.27 22.01 13.49 90.63
390 27.42 37.65 20.59 13.39 98.99
391 27.38 46.59 23.60 14.20 89.41
392 27.38 18.55 18.21 9.67 77.33
393 27.57 27.94 20.04 12.19 83.69
394 27.62 41.54 23.16 13.96 91.75
395 27.53 67.44 48.97 12.30 108.35
396 27.70 44.06 22.22 14.77 99.10
397 27.51 53.22 23.76 15.10 98.76
398 27.81 30.26 20.13 12.39 93.41
399 27.78 71.22 215.04 14.02 117.89
400 27.91 25.61 19.87 11.38 83.74
401 27.74 77.66 191.13 11.59 104.22
402 27.79 20.84 18.54 10.08 84.30
403 27.69 51.34 23.08 15.97 99.61
404 28.11 80.36 150.01 12.22 126.81
405 27.98 59.64 29.34 14.22 97.12
406 27.91 65.14 51.87 12.83 121.68
407 28.15 12.01 16.70 7.28 58.69
408 28.15 39.75 24.11 14.20 100.73
409 28.14 14.43 18.62 8.44 77.51
410 28.17 32.90 22.28 13.24 104.00
411 28.16 62.49 43.82 14.74 112.03
412 28.11 76.00 202.92 12.36 136.53
413 28.20 49.39 24.95 15.07 108.05
414 28.36 68.83 223.34 14.71 126.11
415 28.21 16.89 20.18 9.82 98.76
416 28.44 47.32 24.16 15.19 110.05
417 28.18 53.48 24.81 13.68 108.32
418 28.37 55.67 27.13 14.59 102.71
419 28.31 57.69 32.76 15.40 95.62
420 28.41 23.81 21.79 11.41 89.68
421 28.52 74.79 206.47 13.07 123.66
422 28.61 45.16 25.78 14.19 101.69
423 28.49 51.27 24.42 14.07 97.55
424 28.62 19.04 23.51 10.36 93.45
425 28.56 35.29 23.14 13.42 105.54
426 28.50 37.55 22.26 14.16 102.70
427 28.73 42.40 25.92 15.67 107.09
428 28.88 83.07 90.05 11.73 144.60
429 28.72 28.90 23.75 12.75 96.03
430 28.81 66.50 220.18 15.37 136.41
431 28.72 72.56 194.14 12.65 110.84
432 28.93 21.72 27.03 10.84 97.81
433 29.00 26.76 28.07 11.98 98.97
434 28.95 77.98 174.42 12.24 149.53
435 28.92 30.99 23.94 12.62 102.61
436 29.10 61.14 203.91 15.56 151.50
437 28.99 63.92 203.40 15.35 151.53
438 28.95 53.11 29.52 14.55 103.04
439 29.08 59.12 78.74 16.38 147.49
440 29.18 15.74 33.02 8.73 104.34
441 29.22 70.30 204.34 13.72 167.31
442 29.31 33.39 29.73 12.01 108.48
443 29.14 40.33 25.55 15.08 99.31
444 29.31 48.98 29.86 15.58 118.78
445 29.36 57.23 67.22 14.04 137.19
446 29.39 54.93 39.58 15.10 137.10
447 29.50 13.29 49.10 8.33 84.91
448 29.51 24.80 37.44 10.93 109.06
449 29.53 38.27 31.18 13.04 119.52
450 29.70 85.40 51.37 11.88 137.08
451 29.60 46.64 35.87 14.87 130.20
452 29.61 35.88 36.27 14.61 125.51
453 29.58 51.17 39.35 13.76 124.03
454 29.63 75.54 149.95 13.72 162.32
455 29.87 19.98 88.83 10.78 119.78
456 29.56 44.00 29.06 13.49 112.86
457 29.54 31.30 35.70 13.50 115.60
458 29.89 22.93 86.73 10.81 120.73
459 29.89 68.23 212.71 14.87 196.71
460 29.87 72.64 153.12 16.18 149.76
461 29.86 29.13 36.05 11.84 113.53
462 29.90 65.59 228.41 16.69 168.12
463 30.08 42.27 44.11 14.84 134.20
464 30.00 62.75 228.83 16.26 168.93
465 30.07 31.77 41.46 12.91 118.87
466 30.06 53.25 107.33 14.58 156.23
467 30.17 40.30 46.25 14.04 144.83
468 30.05 17.74 91.19 9.51 129.44
469 30.13 27.06 106.14 12.78 123.78
470 30.18 60.11 221.39 15.60 175.61
471 30.24 78.01 85.89 12.75 166.89
472 30.26 11.39 99.16 8.30 102.34
473 30.42 15.13 124.74 9.40 127.50
474 30.42 82.82 50.98 12.89 133.11
475 30.27 34.04 58.89 12.67 113.78
476 30.49 55.54 233.40 16.59 155.24
477 30.32 70.62 169.93 14.85 161.17
478 30.44 44.89 60.63 15.60 157.40
479 30.29 48.54 63.89 15.26 153.36
480 30.57 57.88 233.58 17.13 190.02
481 30.55 36.31 128.58 15.69 145.41
482 30.69 24.66 164.88 12.32 138.74
483 30.67 38.43 148.70 14.90 160.42
484 30.68 50.92 222.53 16.57 185.76
485 30.72 74.48 89.91 14.98 156.25
486 30.86 30.39 189.11 13.78 158.14
487 30.68 46.82 134.60 16.86 152.51
488 30.88 64.44 191.80 15.47 211.86
489 31.00 67.01 135.43 15.41 219.32
490 31.01 22.07 164.23 11.13 133.48
491 31.13 17.00 145.43 10.47 170.91
492 31.26 19.62 155.23 11.37 159.50
493 31.16 69.35 108.36 15.21 201.60
494 31.22 32.87 192.99 14.07 148.79
495 31.10 42.91 205.12 15.37 154.48
496 30.99 62.04 189.46 17.80 184.04
497 31.33 28.38 189.58 12.74 180.05
498 31.15 53.23 227.11 16.68 154.86
499 31.30 79.79 39.47 13.90 140.21
500 31.27 40.57 205.59 16.55 172.04
501 31.23 59.82 211.03 16.73 227.97
502 31.42 71.98 92.24 15.51 178.23
503 31.45 85.17 24.58 13.36 112.80
504 31.33 26.21 187.79 12.66 172.11
505 31.42 76.94 46.57 13.33 150.13
506 31.41 87.84 15.19 10.16 56.81
507 31.34 11.44 104.87 9.03 142.85
508 31.55 35.19 197.21 14.67 181.61
509 31.48 49.08 233.83 17.82 203.90
510 31.57 44.82 217.52 17.40 186.94
511 31.78 82.23 31.52 12.96 113.04
512 31.71 37.70 208.57 16.48 197.09
513 31.47 55.32 224.10 15.31 165.28
514 31.75 46.91 236.36 17.19 200.51
515 31.84 56.91 205.59 17.82 192.46
516 31.85 63.28 136.68 16.89 218.68
517 31.86 51.32 234.00 18.93 203.14
518 31.98 13.30 108.60 10.45 167.52
519 31.98 74.45 48.76 14.71 151.34
520 32.07 65.46 103.01 16.23 216.89
521 32.16 15.51 106.65 10.18 181.29
522 32.12 24.40 171.48 13.58 206.28
523 32.04 30.91 199.12 14.96 215.27
524 32.13 61.32 126.85 16.99 232.10
525 32.19 58.94 163.16 16.18 235.85
526 32.21 67.56 67.29 18.00 192.75
527 32.15 42.60 223.41 16.13 222.83
528 32.17 53.72 217.97 18.03 233.99
529 32.17 22.16 173.99 11.39 200.35
530 32.33 17.90 122.59 11.68 189.86
531 32.40 40.05 220.86 16.77 224.78
532 32.38 69.71 52.29 14.94 182.60
533 32.50 33.17 201.76 14.75 211.08
534 32.68 10.57 57.41 9.43 162.41
535 32.59 28.93 180.48 14.80 216.22
536 32.73 20.23 132.84 12.21 203.84
537 32.52 26.72 158.98 11.92 193.85
538 32.59 87.17 19.39 12.87 56.65
539 32.62 76.81 28.94 15.94 117.54
540 32.76 79.25 26.25 14.12 97.54
