#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
tim18 14A 8 even-skipped Kruppel giant

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - Kr, channel 3 - gt>
456 34.81 56.09 100.06 35.74 187.58
457 34.94 10.81 56.58 3.36 224.84
458 34.98 13.92 76.16 4.91 240.25
459 34.88 48.47 102.98 34.18 241.07
460 35.00 71.42 97.31 30.28 106.82
461 35.07 17.36 75.36 5.97 238.62
462 34.97 31.33 126.54 18.59 249.57
463 35.12 34.18 98.79 22.17 249.37
464 35.18 37.23 91.39 25.42 248.72
465 35.32 58.31 101.98 40.14 178.66
466 35.28 74.89 131.89 28.06 81.79
467 35.14 87.11 172.68 14.15 31.85
468 35.43 85.69 180.78 19.31 33.90
469 35.38 42.24 88.25 28.93 244.35
470 35.32 63.39 104.30 37.02 128.89
471 35.44 44.84 80.95 29.12 242.07
472 35.54 5.68 19.90 1.04 123.44
473 35.55 29.01 79.96 15.45 247.79
474 35.69 39.74 80.06 27.23 243.24
475 35.59 25.77 78.90 11.58 248.41
476 35.62 89.05 127.59 13.57 23.91
477 35.64 47.20 83.17 32.02 233.06
478 35.59 52.78 102.95 38.09 215.39
479 35.65 66.45 122.04 33.29 97.75
480 35.78 83.25 219.17 22.45 36.85
481 35.83 22.58 66.32 8.80 244.84
482 35.72 61.02 95.65 37.63 133.76
483 35.90 50.37 90.72 33.45 214.91
484 35.94 69.38 181.08 33.66 81.08
485 35.94 8.63 37.74 2.66 200.89
486 36.00 55.59 95.86 35.80 183.92
487 36.13 72.57 180.34 32.16 70.20
488 36.14 32.29 62.68 18.87 245.16
489 36.07 12.16 40.70 4.21 229.62
490 36.13 19.31 55.50 7.69 241.00
491 36.13 77.66 235.17 31.03 48.63
492 36.29 15.94 44.84 6.19 235.29
493 36.34 34.74 71.29 23.97 240.38
494 36.31 37.47 73.26 23.55 239.43
495 36.44 64.02 179.98 37.48 87.13
496 36.52 81.05 230.63 32.88 40.81
497 36.22 89.42 116.10 14.73 23.83
498 36.34 91.09 73.09 11.51 18.00
499 36.56 27.51 52.87 13.79 243.90
500 36.51 42.36 75.68 28.33 227.32
501 36.67 30.01 55.56 18.02 245.08
502 36.53 45.53 83.05 30.75 233.12
503 36.47 58.19 113.22 41.07 141.02
504 36.56 48.43 87.77 36.43 210.55
505 36.55 84.66 156.00 24.81 28.90
506 36.68 24.52 48.61 12.14 238.07
507 36.69 53.50 103.63 37.97 182.04
508 36.70 61.16 171.34 41.55 98.47
509 36.82 67.16 237.66 39.00 74.55
510 36.84 74.77 229.28 36.62 51.78
511 36.94 87.69 109.48 20.71 25.59
512 37.03 21.32 36.40 9.29 231.90
513 37.13 39.40 71.28 27.88 221.37
514 37.20 9.94 25.09 3.19 205.37
515 37.14 13.22 30.30 5.08 227.55
516 37.12 50.50 94.86 35.86 162.76
517 37.20 70.44 233.34 40.89 61.65
518 37.16 56.16 130.06 44.11 154.42
519 37.32 36.29 69.32 25.09 220.60
520 37.37 18.12 29.88 7.03 226.26
521 37.42 31.66 57.73 20.09 229.26
522 37.39 44.28 83.45 37.78 206.98
523 37.44 78.36 232.90 50.57 36.01
524 37.46 47.14 85.86 36.19 193.72
525 37.54 58.87 229.23 49.39 95.11
526 37.67 84.90 161.33 43.17 26.95
527 37.62 26.51 46.38 14.66 217.57
528 37.69 64.91 242.79 44.36 71.37
529 37.86 33.56 58.79 24.31 207.76
530 37.71 41.76 74.71 30.12 212.54
531 37.81 62.05 240.92 45.94 68.47
532 37.83 81.58 181.88 43.58 31.99
533 37.64 52.65 129.41 41.54 144.67
534 37.92 23.70 38.51 10.16 215.67
535 37.99 72.97 237.07 43.43 41.79
536 38.00 15.28 26.94 6.19 217.67
537 38.04 29.31 46.70 16.82 219.97
538 38.01 55.03 236.54 48.56 107.78
539 37.98 75.77 205.90 48.82 37.21
540 38.06 67.84 230.32 62.80 51.82
541 38.30 88.40 116.33 45.72 22.32
542 38.15 20.77 37.15 9.89 211.24
543 38.23 38.00 75.00 30.56 194.25
544 38.14 50.69 153.63 36.54 123.00
545 38.31 7.80 16.40 2.90 172.01
546 38.41 11.47 21.76 4.43 189.63
547 38.32 45.83 100.44 31.72 160.35
548 38.58 35.48 69.90 24.88 194.42
549 38.51 57.21 247.66 54.62 82.31
550 38.58 4.87 6.90 1.10 94.05
551 38.47 43.31 112.23 32.73 188.82
552 38.63 70.47 214.30 59.83 42.13
553 38.72 40.10 98.50 31.26 177.76
554 38.71 17.67 26.01 8.62 194.76
555 38.69 60.10 245.23 61.81 62.85
556 38.71 78.00 189.50 62.57 31.14
557 38.71 26.52 42.10 16.46 192.06
558 38.85 31.45 67.64 21.68 197.77
559 38.87 52.74 240.39 51.30 94.35
560 38.83 65.31 226.06 61.91 52.55
561 38.98 23.57 39.28 11.68 184.47
562 39.06 49.76 231.59 47.42 97.78
563 39.13 90.67 56.86 47.79 19.23
564 39.08 14.24 24.82 6.27 192.42
565 39.19 62.69 216.74 60.41 50.75
566 39.04 84.03 115.74 59.25 24.09
567 39.28 74.73 168.32 68.72 33.76
568 39.21 80.72 160.52 80.21 29.95
569 39.27 47.16 233.61 41.91 103.52
570 39.28 28.83 67.90 19.28 186.71
571 39.25 33.70 83.50 24.88 172.42
572 39.30 55.10 246.32 63.86 71.48
573 39.32 67.90 215.70 83.82 39.16
574 39.32 20.68 34.62 11.01 174.42
575 39.27 41.99 196.04 34.34 126.41
576 39.48 44.51 230.68 43.24 120.15
577 39.27 37.47 140.91 32.18 160.00
578 39.48 72.31 180.85 78.32 35.09
579 39.46 8.16 14.83 3.64 128.03
580 39.55 58.46 234.18 69.85 54.85
581 39.70 11.29 23.97 4.50 144.95
582 39.68 87.19 99.73 90.38 24.65
583 39.75 25.89 51.91 16.31 150.59
584 39.86 17.82 34.95 8.59 152.98
585 39.92 51.61 237.24 63.63 70.41
586 40.00 77.18 178.60 128.11 31.91
587 39.98 39.02 203.64 35.99 120.14
588 40.11 60.78 202.77 87.89 42.36
589 40.23 82.63 123.98 125.28 26.02
590 40.09 35.96 208.81 31.03 110.28
591 40.07 65.23 189.50 97.56 42.76
592 40.14 69.66 178.56 109.47 36.86
593 40.25 30.48 205.38 25.74 119.10
594 40.05 23.23 61.25 14.35 139.12
595 40.19 14.94 39.55 7.55 144.68
596 40.19 56.27 220.85 65.90 52.51
597 40.18 41.64 223.76 39.48 87.57
598 40.18 48.99 228.04 53.98 61.71
599 40.35 33.08 204.89 27.54 99.90
600 40.36 28.01 187.04 23.63 134.00
601 40.40 53.89 224.36 69.18 55.38
602 40.39 62.92 178.26 100.77 39.67
603 40.48 89.31 75.69 93.31 21.98
604 40.51 46.17 238.13 55.19 72.48
605 40.60 84.90 102.08 131.83 26.69
606 40.55 6.80 26.29 3.25 77.64
607 40.48 20.39 92.78 13.95 107.82
608 40.66 79.76 129.29 150.70 28.44
609 40.65 9.45 65.23 4.86 96.56
610 40.79 74.54 152.24 137.61 30.79
611 40.76 72.02 142.45 138.87 34.35
612 40.92 43.51 238.07 52.66 65.66
