#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
gb8 14A 4 even-skipped Kruppel giant

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - Kr, channel 3 - gt>
333 26.01 19.61 34.19 22.85 109.53
334 25.88 26.98 34.30 27.68 119.70
335 25.92 47.51 50.23 32.38 151.49
336 25.97 33.36 36.72 29.11 120.42
337 26.13 41.17 46.50 29.13 142.38
338 26.01 55.99 77.71 31.14 144.59
339 26.10 76.90 145.85 20.05 103.91
340 26.20 45.48 52.46 29.16 145.75
341 26.31 12.25 33.97 18.90 91.83
342 26.27 72.14 165.39 23.39 122.61
343 26.24 66.88 174.07 26.07 134.15
344 26.26 50.00 61.89 32.54 159.67
345 26.31 64.50 164.59 28.20 134.95
346 26.35 29.38 37.83 26.94 131.04
347 26.37 61.07 151.61 28.38 151.80
348 26.44 24.71 40.38 25.08 120.91
349 26.56 69.57 166.01 25.26 131.00
350 26.60 16.95 41.15 21.46 107.04
351 26.53 38.94 48.83 31.62 133.36
352 26.69 52.39 81.98 33.45 150.39
353 26.86 22.29 45.74 24.21 122.68
354 26.82 57.35 123.66 29.67 150.56
355 26.84 36.19 50.88 29.55 128.55
356 26.96 43.41 65.52 32.68 150.24
357 26.99 54.66 101.68 31.82 152.60
358 27.08 74.21 148.91 22.50 120.78
359 27.04 81.47 105.83 19.14 99.42
360 27.19 30.89 48.40 30.32 133.74
361 27.02 33.28 45.63 27.31 137.29
362 27.03 47.85 70.61 31.68 154.30
363 27.24 59.30 163.24 30.76 159.67
364 27.08 78.15 124.25 21.39 115.53
365 27.27 14.30 48.68 20.15 104.09
366 27.21 27.36 49.75 27.53 127.29
367 27.20 63.13 179.83 29.12 147.46
368 27.26 84.09 78.62 17.08 76.16
369 27.23 19.53 53.28 23.62 118.11
370 27.34 50.51 96.10 32.13 156.40
371 27.40 67.23 179.82 27.36 133.80
372 27.50 45.72 85.26 34.84 151.08
373 27.55 41.31 79.99 32.00 146.59
374 27.61 70.67 156.61 26.66 129.99
375 27.67 11.40 51.53 18.14 88.33
376 27.57 38.54 64.11 31.45 149.89
377 27.67 24.79 65.10 27.09 124.21
378 27.88 35.19 68.24 31.99 146.21
379 27.94 61.27 187.69 28.36 148.04
380 28.07 76.07 118.56 23.99 118.91
381 28.08 16.53 73.79 21.53 115.05
382 28.07 56.44 169.26 33.66 152.14
383 28.07 64.83 188.34 28.56 136.29
384 28.13 29.40 70.25 29.43 138.70
385 28.12 79.31 99.51 22.94 109.84
386 28.18 54.34 151.54 31.83 157.86
387 28.18 48.23 118.85 33.11 158.94
388 28.27 52.32 128.93 33.49 154.90
389 28.24 22.09 77.68 25.99 123.10
390 28.18 32.67 73.96 30.54 143.25
391 28.15 43.49 114.66 33.86 153.09
392 28.32 73.09 138.17 24.82 125.61
393 28.32 82.20 97.87 19.45 96.44
394 28.40 58.45 179.02 32.09 144.29
395 28.46 50.24 135.51 33.67 156.87
396 28.51 19.32 89.26 23.86 121.72
397 28.48 37.35 94.28 30.10 150.26
398 28.67 27.20 97.69 27.98 135.70
399 28.52 68.21 147.04 26.18 129.61
400 28.60 40.00 111.35 33.51 159.20
401 28.62 46.42 132.90 36.02 167.58
402 28.81 13.95 87.47 20.79 104.60
403 28.86 10.75 82.69 20.13 91.21
404 28.80 84.93 70.49 20.67 72.98
405 28.81 24.68 101.46 27.71 136.26
406 28.98 70.87 135.49 26.00 127.75
407 29.00 62.88 186.78 28.74 151.32
408 29.08 31.33 97.20 30.31 147.02
409 29.12 34.98 113.06 33.22 148.57
410 29.17 41.95 165.20 34.18 157.22
411 29.20 44.47 157.52 35.08 159.59
412 29.15 60.06 186.89 32.49 146.99
413 29.18 65.68 140.40 29.50 142.10
414 29.18 77.19 91.54 23.98 118.25
415 29.18 87.63 45.74 17.44 35.68
416 29.28 80.15 82.08 23.51 101.44
417 29.35 56.09 174.09 34.05 161.86
418 29.47 74.08 103.34 26.51 113.15
419 29.54 17.12 127.71 24.80 117.68
420 29.54 29.12 127.04 32.09 139.69
421 29.51 53.76 164.15 34.01 156.48
