#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
mn10 14A 4 even-skipped Kruppel hunchback

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - Kr, channel 3 - hb>
285 25.55 66.94 53.61 32.44 202.71
286 25.70 19.77 28.56 19.81 164.96
287 25.76 78.22 55.57 25.65 162.84
288 25.90 14.59 23.06 15.78 102.45
289 25.82 32.48 32.65 27.42 212.63
290 25.81 44.26 39.19 33.70 228.54
291 25.76 46.58 37.00 33.59 227.99
292 25.79 51.61 37.94 36.06 223.52
293 25.81 74.96 61.34 28.26 172.62
294 25.86 62.99 48.49 34.40 219.31
295 26.04 81.25 65.48 22.78 151.66
296 26.08 37.25 35.80 31.27 222.48
297 25.99 42.05 36.24 34.48 231.20
298 25.95 53.89 42.18 36.34 227.80
299 25.92 56.43 41.28 35.25 225.48
300 26.09 49.22 40.06 33.32 227.12
301 26.20 35.04 35.01 30.51 216.91
302 26.25 65.13 64.80 34.19 211.43
303 26.18 59.04 51.90 35.89 235.61
304 26.26 22.62 29.77 22.75 171.52
305 26.62 28.08 32.46 25.21 200.93
306 26.74 86.28 57.21 20.88 60.44
307 26.78 60.92 60.73 36.19 226.20
308 26.78 83.85 82.47 22.78 130.12
309 26.69 25.20 30.17 23.36 188.90
310 26.72 72.55 80.90 29.91 184.06
311 26.79 68.17 78.14 32.28 200.24
312 26.76 17.55 28.82 17.62 148.44
313 27.10 30.70 34.11 26.69 209.75
314 26.95 45.27 39.91 33.26 216.39
315 26.94 47.61 40.07 35.13 231.76
316 26.71 79.45 72.75 23.54 148.79
317 26.98 39.82 38.35 33.14 227.24
318 27.02 52.82 43.97 34.65 225.78
319 27.02 55.41 48.24 34.05 227.54
320 27.10 33.08 34.82 27.86 211.76
321 27.11 50.42 46.00 35.78 222.38
322 27.18 20.68 30.74 20.72 169.57
323 27.15 75.84 83.06 27.18 175.29
324 27.24 78.36 77.68 27.30 157.62
325 27.12 42.41 39.92 31.22 219.35
326 27.23 63.36 75.84 35.91 215.58
327 27.40 14.83 27.15 17.04 141.26
328 27.22 58.12 59.95 36.98 230.98
329 27.44 65.89 89.37 34.83 214.21
330 27.51 70.17 93.09 31.72 190.86
331 27.40 37.64 38.66 30.59 217.94
332 27.57 35.36 39.45 29.05 219.49
333 27.62 80.98 88.78 24.52 156.50
334 27.81 26.20 34.19 23.58 189.08
335 28.02 23.70 34.05 22.36 178.09
336 27.98 43.76 43.33 33.90 216.09
337 27.97 18.01 32.68 18.78 156.88
338 28.06 28.78 35.96 27.25 202.73
339 28.01 48.51 50.59 35.03 220.22
340 27.99 61.47 94.42 35.51 224.22
341 27.97 73.43 94.75 29.05 179.69
342 28.20 46.11 47.20 35.51 232.59
343 28.06 56.24 70.49 35.33 229.85
344 28.16 53.65 62.39 35.89 228.45
345 28.25 67.48 103.01 33.87 205.33
346 28.13 51.25 55.28 34.97 225.46
347 28.19 40.92 45.98 33.28 229.07
348 28.24 83.78 98.28 25.66 142.28
349 28.22 86.26 71.97 21.62 69.29
350 28.25 59.04 89.32 35.63 227.41
351 28.46 12.88 31.04 15.60 112.21
352 28.49 33.53 41.74 28.40 211.41
353 28.59 38.56 47.97 31.44 224.44
354 28.46 21.10 35.75 20.55 172.73
355 28.54 76.48 99.46 29.07 172.51
356 28.67 31.11 40.66 27.83 203.39
357 28.64 64.65 115.31 34.38 204.54
358 28.92 79.02 93.54 26.15 153.03
359 28.79 35.96 42.90 28.69 216.41
360 28.76 71.00 117.06 32.37 191.77
361 28.95 16.14 36.30 18.44 150.39
362 28.96 49.49 66.14 35.04 228.12
363 29.12 56.99 121.52 35.54 230.70
364 29.09 62.07 133.22 35.09 226.77
365 29.22 68.50 130.56 34.15 208.30
366 28.91 81.96 94.80 25.60 168.49
367 29.16 26.09 41.67 22.95 190.91
368 29.12 43.79 57.25 33.83 220.87
369 29.27 46.44 57.18 34.48 221.81
370 29.27 54.78 103.32 37.88 227.21
371 29.20 52.34 87.36 34.92 229.40
372 29.33 73.79 117.42 31.02 185.25
373 29.33 19.18 40.75 18.85 155.82
374 29.28 41.41 51.60 32.75 226.69
375 29.32 59.29 137.93 36.71 226.53
376 29.40 28.84 44.47 26.39 202.96
377 29.55 84.72 83.47 24.76 136.00
378 29.70 87.55 71.58 23.13 90.86
379 29.49 22.98 43.54 22.05 177.26
380 29.51 81.53 82.14 26.75 154.65
381 29.62 32.71 49.91 30.70 215.60
382 29.72 37.00 57.96 31.00 222.34
383 29.91 14.27 52.39 17.52 140.53
384 29.89 39.47 61.60 32.66 222.50
385 30.06 66.26 163.16 35.73 211.01
386 30.07 11.71 54.97 15.80 106.16
387 29.87 63.93 144.23 35.53 207.19
388 29.93 48.18 82.32 34.77 233.83
389 29.96 50.67 99.74 34.36 230.46
390 29.99 76.25 115.38 30.06 175.14
391 30.11 71.52 129.08 32.06 193.05
392 30.22 34.62 68.25 29.51 211.38
393 30.35 30.34 61.04 27.38 216.74
394 30.08 61.15 152.24 35.32 213.88
395 30.37 17.40 57.06 19.10 138.37
396 30.31 44.09 83.33 33.73 227.94
397 30.27 52.97 141.44 39.05 238.92
398 30.31 57.16 169.29 37.07 230.28
399 30.38 27.32 60.73 25.01 197.26
400 30.44 68.64 151.69 32.15 205.24
401 30.43 79.14 98.16 30.33 168.78
402 30.40 20.81 59.49 20.51 160.32
403 30.50 24.65 63.55 21.13 184.68
404 30.45 41.90 79.22 34.38 219.58
405 30.47 55.02 150.95 39.01 233.10
406 30.53 46.31 98.24 35.15 232.65
407 30.66 59.13 174.79 37.04 228.71
408 30.66 82.06 81.80 28.47 163.60
409 30.76 37.34 83.25 30.99 219.91
410 30.86 85.19 75.00 25.28 133.48
411 30.90 32.26 83.22 29.07 209.70
412 31.05 73.84 108.95 31.18 177.38
413 30.91 49.23 136.29 35.97 226.49
414 31.09 61.88 164.96 34.27 207.73
415 31.10 88.42 60.57 23.46 67.51
416 31.14 64.72 163.52 38.92 210.38
417 31.05 39.85 100.03 30.89 220.12
418 31.12 51.48 154.39 36.86 227.72
419 31.27 76.71 101.46 30.90 167.66
420 31.28 14.35 91.17 19.06 138.29
421 31.40 70.45 131.21 33.90 194.80
422 31.44 22.80 99.06 21.62 177.78
423 31.34 35.22 114.11 32.00 218.40
424 31.49 11.35 107.84 15.71 121.55
425 31.47 28.59 95.09 26.14 203.99
426 31.52 55.63 171.48 37.27 223.69
427 31.59 20.02 102.48 20.92 158.76
428 31.57 42.84 120.76 34.18 225.39
429 31.53 45.13 126.95 34.92 225.35
430 31.68 53.19 168.47 37.41 223.00
431 31.61 67.50 154.00 35.77 208.23
