#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
em39 14A 4 Kruppel even-skipped fushi-tarazu

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - Kr, channel 2 - eve, channel 3 - ftz>
453 27.29 60.84 14.15 131.78 37.90
454 27.62 24.47 11.39 37.59 40.75
455 27.44 41.23 13.00 53.25 37.75
456 27.44 50.22 13.77 85.71 36.89
457 27.18 36.01 12.77 19.85 42.69
458 27.60 63.99 14.19 153.28 38.07
459 27.72 52.58 13.59 107.32 34.85
460 27.52 31.57 12.02 21.88 46.32
461 27.70 14.65 9.96 37.13 23.97
462 27.82 44.43 13.15 61.41 39.31
463 27.81 27.40 11.54 46.46 35.41
464 27.78 22.25 12.45 43.39 34.27
465 27.90 47.74 13.18 88.01 38.14
466 27.95 77.98 11.60 94.94 31.80
467 27.86 36.97 14.07 51.53 37.22
468 28.05 55.27 14.15 141.53 37.11
469 28.00 67.64 13.79 142.38 35.52
470 27.99 83.40 10.77 62.45 27.91
471 28.13 58.26 14.17 166.08 37.28
472 28.06 70.90 13.16 126.15 36.44
473 28.18 34.66 13.52 57.85 37.55
474 28.15 39.12 12.67 63.89 35.32
475 28.24 19.99 11.74 59.76 33.70
476 28.25 29.79 12.13 53.56 39.23
477 28.34 16.96 10.96 60.32 32.91
478 28.34 32.13 13.50 57.85 34.68
479 28.45 60.78 13.82 181.58 40.86
480 28.58 80.33 12.56 89.79 35.85
481 28.54 25.81 12.41 71.41 36.01
482 28.67 65.34 13.75 169.54 38.35
483 28.60 73.50 13.27 116.39 42.78
484 28.66 41.34 13.40 95.88 38.35
485 28.62 50.21 13.46 134.16 37.98
486 28.83 46.11 13.45 114.14 39.99
487 28.93 62.91 14.83 172.33 39.63
488 28.86 22.17 12.20 76.69 37.32
489 28.93 43.53 13.75 116.16 42.26
490 28.84 53.05 14.18 158.39 39.47
491 28.95 36.83 13.22 96.89 38.17
492 28.99 84.90 10.83 59.39 39.87
493 29.26 15.02 10.39 83.15 28.89
494 29.17 69.71 13.56 140.61 42.26
495 29.10 76.94 13.04 100.69 49.55
496 29.25 55.99 13.93 174.42 41.75
497 29.27 18.57 11.19 98.97 32.90
498 29.24 29.12 13.13 96.76 38.29
499 29.46 67.25 14.57 151.73 44.90
500 29.37 34.29 13.50 113.41 38.07
501 29.46 48.56 13.33 163.05 39.79
502 29.36 58.91 14.10 176.49 42.19
503 29.47 39.03 14.19 117.33 37.01
504 29.44 31.68 13.48 102.76 36.39
505 29.49 82.13 12.00 77.97 49.51
506 29.70 71.79 14.06 125.65 60.58
507 29.63 23.93 12.98 113.11 39.42
508 29.63 26.53 12.95 117.06 39.37
509 29.75 74.61 14.16 116.08 70.79
510 29.91 50.80 14.01 191.61 43.56
511 29.91 79.18 13.57 85.09 68.34
512 30.01 86.51 9.18 28.62 63.90
513 29.99 41.31 13.36 149.12 40.24
514 30.03 61.31 15.31 167.46 56.55
515 29.99 46.62 13.60 170.86 41.47
516 29.90 53.33 14.14 181.60 39.96
517 29.98 64.26 14.08 156.68 55.34
518 30.09 21.00 11.98 124.20 38.27
519 30.12 43.77 14.92 156.81 41.85
520 30.11 13.00 9.09 100.43 26.86
521 30.24 36.22 13.53 149.44 39.30
522 30.20 85.00 11.94 51.87 65.68
523 30.35 17.51 11.20 143.44 34.92
524 30.30 57.07 15.14 168.10 52.84
525 30.37 76.82 14.44 67.54 102.91
526 30.47 28.26 13.49 139.17 40.70
527 30.25 30.02 13.69 141.79 38.90
528 30.68 82.75 12.21 57.94 93.24
529 30.61 33.35 13.31 153.00 40.66
530 30.62 69.62 14.43 125.94 76.57
531 30.74 15.22 10.65 136.60 35.26
532 30.68 38.75 14.60 170.18 40.11
533 30.69 30.97 14.03 144.82 38.70
534 30.79 54.95 14.34 171.64 55.55
535 30.79 59.24 15.39 161.89 80.02
536 30.67 66.46 14.52 141.58 66.68
537 30.73 72.66 14.64 107.94 116.00
538 30.80 23.99 13.48 160.65 42.42
539 31.03 26.23 13.52 164.74 43.15
540 31.00 45.33 14.82 180.58 43.87
541 31.08 49.87 14.61 186.37 64.55
542 31.02 52.49 14.81 178.11 59.58
543 31.16 79.70 14.16 73.38 110.12
544 31.38 87.15 10.86 32.25 84.61
545 31.18 47.64 14.40 189.19 55.36
546 31.04 63.19 15.85 140.92 99.92
547 31.09 19.47 13.02 160.56 43.38
548 31.01 77.69 14.26 56.74 118.40
549 31.30 40.84 14.16 172.45 46.99
550 31.38 74.94 15.79 85.64 128.68
551 31.41 12.86 9.99 121.03 35.26
552 31.30 21.74 13.02 160.66 45.55
553 31.26 84.64 12.70 48.48 94.33
554 31.49 43.18 15.51 185.85 47.23
555 31.48 35.04 14.01 166.71 47.71
556 31.62 60.83 15.16 129.64 121.40
557 31.63 37.44 14.60 169.54 50.14
558 31.65 57.40 15.23 146.43 105.92
559 31.55 68.34 14.52 111.87 121.25
560 31.80 16.84 11.78 148.40 42.11
561 31.72 31.14 13.92 157.84 50.10
562 31.64 18.86 11.48 156.12 41.12
563 31.81 28.71 13.87 158.20 51.67
564 31.77 65.50 15.50 105.71 120.58
565 31.87 71.75 15.21 89.31 133.13
566 32.08 10.36 9.22 74.02 31.46
567 31.93 54.76 15.79 148.74 105.71
568 32.25 23.91 13.74 160.69 59.01
569 32.11 51.85 14.89 172.52 104.98
570 32.14 84.14 13.17 52.47 109.78
571 32.26 33.23 15.02 146.16 60.89
572 32.21 77.09 16.43 82.27 120.99
