#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
bk14 14A 4 even-skipped Kruppel giant

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - Kr, channel 3 - gt>
528 29.74 66.62 132.46 36.68 205.99
529 29.85 37.16 153.34 33.98 211.14
530 29.86 57.50 138.43 39.82 214.84
531 30.08 10.19 115.73 15.41 137.87
532 29.82 61.76 139.11 39.12 210.26
533 29.86 69.01 108.84 35.29 177.02
534 29.92 16.80 114.65 19.42 153.64
535 29.89 43.82 134.58 37.73 210.03
536 29.87 32.62 134.38 31.67 204.91
537 30.02 71.65 101.00 35.67 176.36
538 29.98 27.82 118.65 26.96 189.22
539 30.02 40.77 146.14 36.96 212.21
540 30.18 64.29 126.22 38.96 195.74
541 30.12 76.82 84.10 34.83 144.29
542 30.18 86.75 56.93 27.45 70.73
543 30.20 84.04 60.91 29.61 99.45
544 30.32 25.49 134.00 26.52 188.03
545 30.29 52.64 156.12 42.09 215.34
546 30.40 74.20 83.42 35.00 155.71
547 30.39 21.09 129.15 25.19 177.71
548 30.39 46.02 155.60 38.39 218.54
549 30.48 13.82 118.80 17.80 154.12
550 30.52 59.53 131.15 38.95 212.26
551 30.58 50.41 159.19 41.92 217.61
552 30.80 18.90 138.78 21.46 168.33
553 30.74 39.00 171.12 36.35 217.19
554 30.73 35.68 171.42 33.52 219.41
555 30.77 42.50 160.57 39.69 218.48
556 30.84 81.49 60.55 32.56 107.32
557 30.99 8.38 110.79 15.20 127.04
558 30.88 31.24 162.85 33.15 201.46
559 30.86 33.60 167.72 33.06 210.90
560 30.87 48.19 146.17 43.39 212.61
561 30.84 88.79 49.20 25.21 37.92
562 30.97 29.25 153.28 30.19 194.55
563 30.87 56.42 142.07 41.31 218.98
564 30.86 66.70 108.52 40.10 195.38
565 30.91 23.29 140.02 25.28 182.16
566 31.00 54.18 149.20 39.08 212.45
567 30.90 62.27 113.68 40.46 207.55
568 30.96 78.92 64.34 35.33 119.28
569 30.99 69.22 94.90 35.28 172.22
570 31.24 16.51 135.07 19.72 161.59
571 31.23 44.34 159.60 40.67 218.49
572 31.29 27.01 148.99 29.98 194.88
573 31.18 71.83 89.76 39.49 166.20
574 31.40 37.22 166.83 36.48 221.16
575 31.33 40.83 163.38 39.31 218.57
576 31.35 11.43 114.68 16.63 148.18
577 31.41 84.45 60.09 31.86 74.76
578 31.38 75.88 75.08 34.38 134.45
579 31.61 64.83 97.09 38.68 186.66
580 31.62 52.26 147.13 39.80 218.44
581 31.66 57.99 118.88 41.76 210.90
582 31.56 60.34 113.67 42.78 212.00
583 31.61 46.29 150.65 41.57 219.80
584 31.80 24.77 155.05 27.69 187.13
585 31.53 87.40 62.12 27.21 46.91
586 31.85 21.88 140.09 23.64 184.09
587 31.79 50.10 151.12 39.82 217.54
588 31.89 14.26 123.86 18.64 156.24
589 32.16 7.19 95.14 13.69 110.90
590 31.86 32.45 173.46 33.60 205.94
591 32.02 62.40 94.23 39.99 200.49
592 32.01 67.46 77.48 39.21 168.89
593 31.99 34.91 169.45 34.33 207.13
594 31.97 55.57 123.72 42.20 212.09
595 32.15 73.10 75.04 35.61 125.22
596 32.16 19.45 140.26 22.09 178.20
597 32.23 28.60 151.14 31.78 193.01
598 32.23 38.42 162.94 37.47 214.15
599 32.23 43.19 162.54 40.25 218.31
600 32.29 48.08 151.68 41.32 214.28
601 32.20 70.14 77.40 38.68 139.65
602 32.24 81.49 64.54 35.04 80.93
603 32.23 78.78 66.08 34.61 99.57
604 32.19 86.74 69.24 34.45 51.19
605 32.47 30.52 142.36 31.34 190.93
606 32.53 9.71 104.38 15.28 148.63
607 32.41 40.88 159.92 38.00 219.83
608 32.47 75.95 68.93 37.49 113.00
609 32.60 17.05 141.89 22.02 185.00
610 32.72 53.56 110.31 43.04 202.49
611 32.57 59.40 94.96 42.54 195.71
612 32.42 84.87 70.77 33.06 52.80
