#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
pf10 14A 4 even-skipped Kruppel giant

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - Kr, channel 3 - gt>
276 22.55 19.61 17.45 9.32 109.04
277 22.64 36.75 25.71 13.40 145.40
278 22.60 54.85 38.62 15.95 146.32
279 22.69 14.06 14.17 7.83 91.94
280 22.65 31.82 21.80 12.91 142.97
281 22.58 70.60 67.78 15.23 119.38
282 22.68 22.72 17.54 10.57 114.88
283 22.75 25.71 19.72 11.24 124.77
284 22.72 40.20 25.24 13.74 150.55
285 22.78 65.58 64.56 15.29 130.04
286 22.78 75.54 64.37 14.81 103.40
287 22.80 44.96 27.32 14.88 149.02
288 22.81 63.09 54.64 17.05 140.81
289 23.03 42.69 27.93 15.73 157.10
290 22.95 57.16 49.58 17.44 158.44
291 23.00 48.18 31.89 15.76 155.89
292 23.18 68.06 76.16 15.68 131.37
293 23.27 72.63 74.15 15.14 122.57
294 23.29 59.48 56.95 15.86 159.15
295 23.39 27.88 24.10 11.65 159.68
296 23.47 83.49 40.08 10.75 77.37
297 23.63 38.62 27.70 13.44 155.11
298 23.41 47.08 32.93 15.02 150.49
299 23.67 33.57 23.74 12.70 138.16
300 23.60 50.82 43.47 16.35 167.17
301 23.63 53.44 52.62 15.82 156.52
302 23.76 30.38 22.99 12.58 144.07
303 23.68 79.65 61.06 13.27 101.66
304 23.83 16.83 17.37 9.08 106.53
305 23.93 19.17 20.13 9.24 112.34
306 23.85 15.38 17.87 8.10 112.12
307 23.91 36.14 26.91 12.86 155.20
308 23.94 61.65 75.78 17.92 159.80
309 23.92 21.95 20.41 9.44 113.91
310 24.12 55.93 69.68 17.82 169.60
311 24.00 41.04 33.07 15.07 163.51
312 24.05 64.37 76.97 16.69 147.90
313 23.94 44.80 38.06 15.61 170.11
314 24.13 76.83 84.91 13.70 119.94
315 24.03 24.78 21.07 10.62 130.29
316 24.25 13.23 17.72 7.58 95.77
317 24.27 48.74 45.10 16.45 166.49
318 24.26 70.06 96.37 17.15 148.31
319 24.34 73.78 88.19 15.34 123.53
320 24.38 58.19 79.98 18.32 175.68
321 24.37 67.04 93.88 17.33 144.80
322 24.56 81.78 59.95 13.20 106.46
323 24.59 46.54 49.33 15.17 178.42
324 24.60 27.35 24.85 10.83 131.31
325 24.76 42.95 40.84 15.12 171.86
326 24.80 51.66 69.25 17.93 179.53
327 24.84 32.21 29.43 12.01 142.94
328 24.83 54.09 84.82 18.27 186.84
329 24.95 34.84 32.97 13.45 162.38
330 24.91 37.79 36.23 14.26 162.90
331 25.02 60.11 97.04 18.12 182.72
332 25.11 29.77 30.79 12.94 136.77
333 25.08 79.25 77.67 15.04 122.68
334 25.16 15.71 26.56 8.72 120.01
335 25.15 40.41 43.31 14.60 177.30
336 25.20 62.75 96.01 17.66 165.80
337 25.24 21.46 25.36 10.21 128.37
338 25.31 18.53 25.98 10.18 118.56
339 25.32 24.68 26.84 11.31 129.14
340 25.48 71.24 100.37 16.88 148.96
341 25.42 84.09 50.07 12.70 92.81
342 25.48 44.91 61.77 15.95 189.07
343 25.39 49.52 76.11 17.53 183.59
