#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
sl11 14A 4 Kruppel even-skipped fushi-tarazu

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - Kr, channel 2 - eve, channel 3 - ftz>
464 24.27 64.62 13.16 20.51 53.88
465 24.77 43.38 14.79 13.53 58.80
466 24.39 55.62 13.92 13.10 58.29
467 24.38 30.66 13.63 11.43 50.73
468 24.72 48.07 14.05 12.61 55.51
469 24.42 65.86 11.90 22.30 54.00
470 24.40 41.01 13.93 12.47 57.93
471 24.51 58.01 13.46 15.96 53.35
472 24.40 15.62 10.80 11.70 36.30
473 24.39 61.68 11.25 23.25 51.25
474 24.68 81.03 10.15 94.11 34.82
475 24.70 75.56 11.67 95.62 43.53
476 24.62 24.07 12.86 14.00 49.66
477 24.79 70.20 12.89 64.87 44.88
478 24.56 34.92 13.00 11.12 52.94
479 24.79 32.03 13.89 11.27 53.85
480 24.69 36.72 15.12 13.75 55.21
481 24.74 63.65 12.65 23.97 52.35
482 24.98 72.92 12.92 93.42 45.08
483 24.67 46.20 14.20 12.40 58.20
484 25.00 61.25 13.40 19.82 57.75
485 24.94 67.90 13.77 54.60 51.98
486 24.96 15.28 10.28 12.44 41.46
487 24.88 19.45 13.54 20.42 54.96
488 25.05 16.94 10.94 13.53 40.41
489 25.22 25.00 12.39 13.70 52.01
490 25.17 37.76 14.88 13.64 55.98
491 25.09 40.72 14.48 12.38 55.07
492 25.27 56.42 14.21 18.60 57.64
493 25.41 78.83 11.68 114.96 42.03
494 25.24 33.20 14.55 15.00 50.76
495 25.12 47.09 14.55 19.82 54.55
496 25.14 58.46 13.10 18.86 56.81
497 25.45 18.07 11.32 13.65 44.62
498 25.35 14.20 10.03 12.61 41.55
499 25.70 22.27 12.70 14.91 47.11
500 25.55 84.92 7.75 67.29 27.00
501 25.40 27.45 13.42 12.99 51.27
502 25.40 46.05 14.90 13.57 55.38
503 25.62 51.37 15.39 17.06 56.26
504 25.85 60.06 14.07 33.57 51.38
505 25.37 64.57 13.89 33.95 51.57
506 25.19 30.64 13.75 8.50 60.25
507 25.52 29.79 13.33 14.69 54.02
508 25.53 41.63 14.60 12.46 56.20
509 25.90 44.67 14.93 15.04 55.61
510 25.48 49.39 15.42 16.91 53.36
511 25.66 36.64 14.68 14.51 57.46
512 25.63 39.94 14.81 14.47 53.64
513 25.75 57.59 14.96 23.88 54.50
514 25.99 68.63 13.19 93.22 45.06
515 25.95 76.45 13.04 129.86 44.41
516 25.90 81.88 10.30 98.82 36.26
517 25.89 62.77 13.47 52.67 47.20
518 26.05 71.03 14.05 112.74 46.57
519 25.94 15.36 10.16 19.61 42.90
520 25.96 48.07 15.13 17.20 57.87
521 25.99 66.11 13.48 72.63 49.48
522 26.05 38.51 14.45 16.19 54.43
523 25.90 52.90 13.92 15.08 58.77
524 25.83 55.55 16.80 28.90 54.20
525 26.10 73.84 12.90 127.49 46.85
526 25.81 64.01 14.00 26.00 55.00
527 26.44 13.06 9.08 20.02 38.14
528 26.07 31.93 13.40 15.05 57.29
529 26.04 46.63 14.81 21.77 56.10
530 26.15 16.52 11.41 17.16 40.94
531 26.03 19.16 11.47 20.60 49.67
532 26.11 54.46 14.82 20.74 57.36
533 26.01 61.73 14.33 33.33 59.25
534 26.21 50.01 13.91 18.09 58.00
535 26.15 26.37 13.71 16.47 46.12
536 26.45 41.70 14.42 18.97 56.09
537 26.30 24.26 13.87 20.21 47.15
538 26.48 28.95 13.88 17.84 50.66
539 26.49 17.58 11.08 20.24 41.13
540 26.70 64.19 13.87 86.66 44.97
541 26.84 18.92 12.12 21.69 47.35
542 26.66 57.17 14.49 25.81 53.77
543 26.72 78.84 11.84 119.79 42.72
544 26.78 40.02 15.51 19.55 57.10
545 26.86 84.07 9.53 87.59 33.94
546 26.61 27.31 12.60 14.82 52.50
547 26.44 33.20 16.06 18.39 57.61
548 26.64 15.08 10.36 22.79 44.50
549 26.64 52.51 14.18 23.12 56.58
550 26.86 24.92 13.92 16.75 51.49
551 26.80 30.76 15.14 18.80 54.97
552 26.70 43.40 14.30 17.40 53.37
553 26.83 55.26 14.15 25.26 58.87
554 26.92 34.00 13.78 15.76 56.96
555 27.11 53.49 14.46 33.32 56.80
556 27.16 61.98 14.46 87.34 50.12
557 27.12 59.14 13.95 55.74 50.31
558 27.19 72.01 13.17 145.63 49.16
559 27.05 50.90 13.88 25.28 56.14
560 27.20 66.54 13.65 122.75 45.58
561 27.08 22.53 13.29 18.10 51.19
562 27.23 69.21 14.12 139.63 47.45
563 27.05 16.08 11.15 30.92 38.15
564 27.25 75.28 12.61 144.24 48.71
565 27.19 81.97 11.19 104.45 42.74
566 27.25 14.52 9.24 26.56 39.80
567 27.22 26.39 14.07 27.41 52.19
568 27.27 56.23 14.94 54.50 49.71
569 27.53 43.61 14.84 27.12 57.34
570 27.67 27.21 13.84 21.67 51.78
