#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
pe3 14A 4 even-skipped Kruppel giant

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - Kr, channel 3 - gt>
269 21.12 51.10 26.07 23.19 147.64
270 21.05 64.69 28.64 20.67 118.91
271 21.13 79.30 23.48 13.39 61.54
272 21.28 62.02 29.34 20.94 123.62
273 21.49 76.99 36.71 16.52 93.25
274 21.48 44.78 23.31 22.62 152.63
275 21.42 53.44 25.18 21.35 154.41
276 21.68 55.97 27.31 22.79 149.65
277 21.63 40.76 21.71 21.22 146.46
278 21.65 58.77 27.06 21.86 134.85
279 21.81 33.27 20.58 20.35 129.97
280 21.83 36.83 21.98 20.01 135.36
281 21.68 71.58 38.88 17.59 94.89
282 21.85 26.24 17.80 16.83 120.33
283 21.99 67.32 35.27 19.81 117.03
284 22.01 48.90 25.34 22.18 149.32
285 22.18 21.67 16.95 14.88 99.07
286 21.85 74.78 38.00 16.15 92.30
287 22.25 18.71 18.03 12.91 95.97
288 22.10 28.95 19.45 17.13 128.01
289 22.23 42.91 22.56 22.55 147.62
290 22.11 64.94 36.53 19.81 125.22
291 22.29 73.62 41.35 17.37 97.88
292 22.29 60.50 32.16 22.14 142.57
293 22.43 51.40 27.26 23.07 161.55
294 22.33 81.38 29.09 12.71 62.12
295 22.57 15.92 17.02 12.77 92.97
296 22.52 39.28 23.42 21.53 144.01
297 22.50 46.14 25.79 22.43 155.89
298 22.62 78.90 45.25 15.62 87.64
299 22.46 54.15 29.60 23.11 152.04
300 22.60 69.52 45.35 19.40 120.86
301 22.68 31.58 21.66 18.84 136.56
302 22.70 62.55 35.50 22.01 137.02
303 22.74 24.26 18.63 15.80 120.14
304 22.76 34.75 20.90 19.83 129.40
305 22.83 57.75 31.40 20.68 151.26
306 22.79 76.41 53.23 16.47 100.02
307 23.15 37.23 24.41 20.80 138.75
308 23.16 72.04 57.41 18.05 115.28
309 23.25 41.57 26.59 21.90 146.30
310 23.36 26.59 19.72 16.73 117.87
311 23.27 47.56 28.74 22.10 160.53
312 23.35 29.24 21.09 18.32 129.29
313 23.42 44.04 27.03 23.23 147.88
314 23.22 64.62 47.99 22.63 138.16
315 23.42 49.81 28.98 23.32 158.72
316 23.44 55.55 36.26 25.34 179.18
317 23.49 20.57 20.37 14.75 107.14
318 23.44 67.10 52.72 19.40 128.04
319 23.46 52.94 33.45 23.95 162.26
320 23.56 60.11 40.29 21.46 148.78
321 23.56 17.56 20.82 13.62 103.90
322 23.62 74.87 68.10 18.82 118.77
323 23.64 80.94 53.42 15.43 82.71
324 23.50 22.31 21.30 13.60 112.80
325 23.77 39.55 26.29 21.85 149.94
326 24.02 14.62 20.71 12.31 98.56
327 23.92 23.45 20.38 15.03 110.53
328 24.00 31.97 23.22 18.83 135.38
329 24.07 34.19 26.18 19.01 137.18
330 24.05 62.39 49.34 21.21 143.09
331 24.05 57.94 40.78 22.34 164.18
332 24.06 69.48 68.12 18.38 123.34
333 24.22 45.81 31.34 22.52 167.30
334 24.16 78.42 70.39 16.66 102.50
335 24.25 36.44 24.69 20.63 146.48
336 24.32 51.32 35.34 24.10 164.16
337 24.32 72.71 92.24 19.09 125.57
338 24.35 64.94 70.95 22.02 148.44
339 24.54 48.05 33.75 22.44 156.85
340 24.57 41.40 28.13 21.35 148.99
341 24.53 53.91 38.58 23.19 161.43
342 24.62 19.06 22.37 14.52 102.81
343 24.54 29.48 24.80 18.76 140.55
344 24.87 27.01 24.14 15.80 118.08
345 24.61 84.93 30.11 10.94 29.61
346 24.79 38.46 29.39 20.90 156.13
347 24.73 43.73 30.29 22.84 152.31
348 24.81 56.05 45.84 23.66 169.38
349 24.96 24.71 24.64 15.87 117.48
350 24.76 82.67 56.70 14.31 67.24
351 24.86 75.69 102.06 18.64 123.80
352 24.93 60.57 56.75 23.26 153.70
353 25.01 66.69 87.79 22.50 142.92
354 25.07 22.00 25.78 15.62 114.71
355 25.14 70.91 107.60 20.44 137.48
356 25.24 49.72 40.94 22.71 168.85
357 25.38 80.57 82.82 15.92 98.32
358 25.25 15.07 25.85 11.98 95.19
359 25.28 58.19 58.77 25.70 171.00
360 25.25 63.22 75.71 22.03 157.91
361 25.32 31.32 27.29 17.98 137.42
362 25.30 35.56 32.04 21.36 156.37
363 25.45 77.91 102.99 18.55 119.68
364 25.61 33.45 29.99 19.05 146.97
365 25.46 52.02 46.02 22.57 166.71
366 25.52 45.93 38.03 23.07 165.11
367 25.61 68.66 117.12 22.04 148.33
368 25.60 73.49 115.62 20.03 132.31
369 25.79 39.39 35.10 20.25 149.78
370 25.73 54.29 55.88 23.53 165.38
371 25.82 41.51 37.89 21.86 164.32
372 25.88 28.78 31.57 17.96 135.01
373 25.80 19.40 31.13 14.33 108.55
374 26.03 37.14 35.60 21.02 155.36
375 25.90 43.86 38.88 23.21 158.58
376 26.10 47.81 46.97 23.26 164.98
377 26.11 83.15 71.77 14.78 83.16
378 26.31 17.07 37.57 13.85 111.20
379 26.16 56.19 85.47 25.04 177.75
380 26.15 59.76 85.42 23.24 160.34
381 26.19 64.54 118.57 23.05 157.58
382 26.24 62.00 103.72 23.69 173.09
383 26.14 13.20 38.21 12.03 99.54
384 26.37 24.53 33.66 16.42 123.18
385 26.14 70.92 137.00 21.57 138.78
386 26.46 75.89 119.30 20.12 124.35
387 26.42 21.97 33.41 15.56 115.66
388 26.34 50.30 55.97 23.03 168.32
389 26.60 66.88 133.31 23.00 151.33
390 26.69 26.87 36.60 16.88 128.36
391 26.56 30.88 36.85 19.56 152.05
392 26.62 35.06 42.17 21.42 150.44
393 26.74 12.43 37.12 12.00 96.51
394 26.59 52.74 72.42 24.73 171.27
395 26.68 78.59 110.24 18.10 116.06
396 26.59 71.78 125.44 22.35 146.17
397 26.80 81.14 95.25 17.43 99.39
398 26.82 57.96 113.42 23.29 184.84
399 26.76 14.64 50.14 12.64 112.02
400 26.85 43.00 47.75 23.85 165.83
401 26.83 45.71 56.97 22.10 164.48
402 26.94 69.26 139.73 22.80 152.52
403 27.03 32.63 46.48 22.13 151.49
404 27.03 86.14 43.49 13.85 45.70
405 27.05 73.32 138.81 20.39 135.78
406 27.02 38.12 53.18 22.26 159.58
407 27.04 40.21 49.99 22.03 159.45
408 27.21 19.71 49.26 14.49 113.69
409 27.21 48.86 70.62 24.32 178.96
410 27.34 29.10 49.02 17.50 143.39
411 27.24 15.58 53.72 13.98 108.95
412 27.41 55.92 114.11 24.95 172.83
413 27.43 60.55 135.58 24.26 170.64
414 27.36 62.86 153.79 24.72 167.38
415 27.52 53.57 104.22 24.97 169.40
416 27.43 65.15 155.78 25.71 165.53
417 27.47 51.04 83.58 25.20 180.39
418 27.54 83.33 75.79 17.52 84.58
419 27.69 22.58 52.35 15.76 119.39
420 27.80 36.42 66.99 20.93 163.80
421 27.73 25.29 53.55 16.32 133.41
422 27.76 34.42 66.56 22.32 158.67
423 27.71 41.81 69.41 23.38 169.79
424 27.92 47.48 88.76 25.52 169.87
425 27.87 77.67 113.59 21.30 121.26
426 27.89 71.01 133.67 21.93 139.91
427 27.87 10.59 60.29 12.12 89.85
428 27.87 75.04 126.86 20.82 126.56
429 28.03 17.00 68.39 14.90 111.94
430 27.97 45.55 85.85 24.18 169.71
431 27.94 58.52 141.91 24.87 174.41
432 28.00 80.13 94.39 19.18 108.11
433 28.02 14.00 72.02 13.52 109.03
434 28.16 43.56 88.00 25.29 171.44
435 28.06 68.20 146.54 22.88 152.29
436 28.29 38.35 88.01 23.62 164.68
437 28.39 30.25 74.81 19.36 150.91
438 28.33 32.46 75.19 20.70 153.14
439 28.42 27.71 77.19 17.15 145.82
440 28.37 49.74 108.18 27.58 175.07
441 28.53 40.43 104.25 23.27 173.64
442 28.56 20.41 75.41 15.19 115.68
443 28.59 54.50 142.74 27.16 166.86
444 28.58 61.67 167.71 25.75 174.91
445 28.55 65.95 165.48 25.08 161.81
446 28.62 52.16 136.34 24.96 166.76
447 28.68 63.76 172.23 24.57 167.80
448 28.61 85.17 59.74 16.96 68.34
449 28.68 56.69 161.82 26.42 182.87
450 28.85 72.79 126.59 23.34 134.43
451 28.82 82.42 86.90 19.38 96.13
452 29.00 87.55 33.29 14.07 33.05
453 28.92 12.20 93.42 12.98 105.55
454 28.91 23.22 86.35 15.77 134.76
455 28.84 35.21 102.99 22.93 160.78
456 28.98 59.53 162.16 25.09 180.54
457 29.11 76.05 112.89 22.48 122.37
458 29.01 25.54 97.88 17.54 142.90
459 29.22 78.71 99.88 20.66 112.71
460 29.12 46.58 140.72 26.88 171.90
461 29.13 17.91 101.26 15.02 118.02
462 29.18 44.53 137.03 26.17 170.96
463 29.13 69.80 135.45 22.89 150.30
464 29.31 42.24 132.11 24.56 166.68
465 29.31 48.44 145.86 25.10 173.51
466 29.25 14.96 98.08 13.45 108.42
467 29.48 67.31 137.42 23.92 151.48
468 29.48 50.57 160.67 26.08 177.14
469 29.83 10.40 93.32 12.07 89.77
470 29.62 31.21 118.28 21.79 157.54
471 29.62 33.36 125.90 22.69 167.74
472 29.48 38.14 131.28 23.37 173.93
473 29.68 29.09 119.36 19.89 155.16
474 29.83 80.82 89.98 23.45 104.72
475 29.68 40.21 148.76 24.91 181.19
476 29.73 55.11 168.51 25.81 170.61
477 29.86 26.90 126.48 18.28 151.61
478 29.74 57.70 177.21 26.20 171.86
479 29.82 62.39 168.53 25.87 174.58
480 29.88 52.68 171.73 27.46 169.00
481 29.88 36.02 140.55 22.71 160.17
482 29.86 64.76 143.46 24.01 164.81
483 29.95 21.69 115.99 15.35 124.66
484 29.92 85.65 63.46 20.17 66.76
485 30.02 71.57 130.38 24.29 152.68
486 30.09 19.24 121.53 15.50 120.41
487 29.95 74.01 119.83 24.21 137.91
488 30.08 60.29 167.52 25.66 171.70
489 30.24 24.28 127.29 17.32 136.94
490 30.18 83.42 77.34 22.10 87.40
491 30.28 46.07 170.31 26.82 172.24
492 30.29 13.08 105.43 13.62 106.94
493 30.26 43.74 165.46 26.95 171.94
494 30.38 16.40 122.46 14.71 112.44
495 30.38 88.07 37.50 15.38 31.10
496 30.44 69.02 121.67 25.74 147.87
497 30.33 75.11 102.18 23.70 133.11
498 30.65 76.75 104.02 23.88 117.47
499 30.56 48.09 168.14 27.28 176.88
500 30.52 50.32 165.10 27.62 170.77
501 30.64 40.91 168.94 25.69 169.98
502 30.69 38.61 166.93 24.47 176.20
503 30.75 34.03 152.13 23.37 163.81
504 30.71 56.38 164.57 25.91 167.66
505 30.79 66.40 127.29 25.45 162.96
506 30.91 79.16 96.20 25.12 106.33
507 30.83 53.96 175.22 27.48 175.02
508 30.90 31.68 150.93 21.49 155.83
509 30.93 58.57 158.65 27.22 171.76
510 30.92 29.20 148.65 20.05 149.92
511 31.15 89.99 23.21 13.55 13.68
512 31.06 36.40 160.85 22.89 167.90
513 31.08 63.50 132.21 25.42 155.17
514 31.04 73.18 109.12 24.14 139.26
515 31.04 26.58 149.79 18.36 139.93
516 31.15 81.73 92.84 24.00 91.26
517 31.19 10.00 98.36 13.22 94.80
518 31.28 20.36 143.28 16.83 116.64
519 31.30 22.76 142.55 16.91 130.55
520 31.26 61.01 140.30 27.43 171.47
521 31.19 42.76 172.93 25.58 181.62
522 31.38 52.03 160.32 26.94 169.31
523 31.28 85.53 75.26 23.12 58.87
524 31.36 70.53 110.06 25.33 141.14
525 31.55 18.00 130.96 14.81 110.72
526 31.45 45.06 156.14 25.91 172.17
527 31.63 49.43 166.06 27.01 178.13
528 31.83 12.55 112.52 13.74 98.53
529 31.65 15.35 129.16 14.19 107.53
530 31.75 47.17 161.46 27.26 170.06
531 31.79 24.74 156.23 18.67 143.97
532 31.72 55.54 162.17 28.17 172.33
533 31.82 75.19 99.41 24.47 112.16
534 31.83 40.52 168.53 26.82 173.59
535 31.89 68.36 106.62 27.36 139.96
536 31.94 87.99 57.72 22.65 30.64
537 31.94 34.84 168.38 23.88 166.26
538 31.91 38.12 164.59 23.79 162.16
539 31.96 65.98 117.60 27.57 157.67
540 32.09 28.20 159.56 19.81 152.18
541 32.16 32.62 163.77 23.19 150.83
542 32.02 57.82 145.03 29.12 174.51
543 31.99 77.74 100.22 24.99 100.39
544 32.04 83.32 95.68 25.48 68.91
545 32.24 30.39 159.03 21.26 155.26
546 32.13 72.36 97.98 25.25 128.18
547 32.37 80.40 101.97 27.24 79.31
548 32.21 42.81 167.39 26.24 170.54
549 32.40 53.56 149.40 28.53 168.67
550 32.39 59.93 126.39 31.07 172.26
551 32.38 64.02 117.12 28.81 156.27
552 32.54 62.06 112.72 29.21 160.74
553 32.48 50.96 146.71 28.68 159.55
554 32.53 21.64 146.37 17.10 111.47
555 32.74 10.03 88.72 13.62 88.15
556 32.72 26.30 156.24 19.82 139.92
557 32.72 85.86 88.49 26.64 39.18
558 32.98 7.73 67.71 11.48 67.02
559 32.72 16.30 118.57 15.01 104.04
560 32.79 36.79 157.25 24.98 159.53
561 32.85 19.14 131.63 16.22 102.30
562 32.95 44.49 151.01 29.12 171.61
563 32.90 46.57 150.07 27.53 168.83
564 32.98 48.94 131.86 29.18 172.04
565 32.88 55.84 128.04 28.88 157.28
566 32.94 70.34 97.06 28.85 124.25
567 32.96 39.82 149.96 26.49 161.42
568 33.03 75.89 101.61 31.06 93.98
569 33.17 24.04 144.39 18.59 122.20
570 33.12 34.25 155.16 25.48 158.40
571 33.09 67.58 94.52 27.51 133.78
572 33.09 73.32 92.39 28.38 103.33
573 33.15 12.96 96.36 13.42 103.20
574 33.27 58.11 109.05 28.97 148.39
575 33.22 83.68 115.47 32.59 48.67
576 33.33 78.25 101.72 30.29 75.39
577 33.29 42.07 149.22 27.10 158.15
578 33.43 28.60 154.91 21.16 149.79
579 33.40 65.20 89.37 28.85 129.77
580 33.48 31.54 145.70 22.01 145.59
581 33.43 52.00 130.96 29.37 166.24
582 33.16 87.49 68.60 27.47 23.73
583 33.60 88.39 63.82 28.83 21.60
584 33.65 60.38 101.85 31.93 149.04
585 33.72 54.13 118.04 30.28 155.96
586 33.86 38.37 133.96 26.52 153.34
587 33.86 62.77 92.51 29.40 136.34
588 33.85 80.40 106.67 32.25 56.82
589 33.88 91.24 29.05 18.38 7.28
590 33.81 21.71 118.55 17.42 93.17
591 33.98 15.14 100.41 14.63 99.97
592 33.93 18.09 117.60 16.94 100.67
593 33.94 36.01 130.46 26.03 145.48
594 34.04 26.21 128.85 20.43 127.12
595 34.04 45.90 126.73 29.36 161.92
596 34.13 50.23 119.27 30.16 154.40
597 34.12 56.31 103.01 29.50 148.89
598 34.08 69.31 89.97 31.41 102.15
599 34.16 85.48 100.78 34.91 31.50
600 34.20 11.21 82.39 13.69 85.77
601 34.26 48.11 119.14 30.05 155.52
602 34.12 74.56 97.75 30.32 79.04
603 34.13 71.78 92.19 31.80 96.34
604 34.34 33.40 127.66 25.06 152.79
605 34.24 43.35 122.87 28.15 157.12
606 34.28 40.65 134.71 27.98 156.31
607 34.45 8.32 69.96 12.30 71.76
608 34.40 29.73 137.65 23.21 145.42
609 34.38 67.11 82.46 32.62 113.25
610 34.53 77.31 107.80 34.43 61.29
611 34.68 24.11 111.06 19.83 109.48
612 34.59 52.49 103.38 29.99 146.12
