#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
cq3 14A 4 even-skipped Kruppel giant

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - Kr, channel 3 - gt>
389 27.44 47.78 79.82 20.17 210.57
390 27.52 42.38 64.09 19.67 213.81
391 27.82 69.46 189.98 21.07 190.30
392 27.81 13.40 33.75 6.93 105.10
393 27.76 40.14 60.42 18.70 195.36
394 27.79 57.16 186.15 22.60 216.45
395 27.79 36.22 51.87 18.46 176.31
396 27.80 67.24 204.67 23.75 187.81
397 27.96 30.35 45.07 14.65 169.74
398 27.87 59.70 205.07 22.63 208.53
399 27.99 54.74 161.14 21.92 215.36
400 28.05 28.23 47.17 14.47 167.83
401 27.99 34.15 50.94 16.10 161.79
402 28.09 23.09 41.11 10.96 131.18
403 28.07 74.29 153.13 18.87 177.57
404 28.02 49.88 123.85 21.12 209.39
405 28.17 71.58 173.72 21.17 188.63
406 28.18 77.20 121.30 18.42 153.02
407 28.20 62.35 207.44 22.95 209.87
408 28.15 86.62 55.22 11.05 77.81
409 28.25 16.56 39.71 8.27 120.52
410 28.27 46.15 99.73 20.99 209.23
411 28.25 82.36 86.24 15.90 114.08
412 28.34 10.48 39.33 5.57 106.77
413 28.52 32.18 55.65 15.78 172.09
414 28.41 38.19 65.94 17.90 188.92
415 28.47 43.45 87.29 19.25 205.99
416 28.67 19.96 45.84 9.87 124.66
417 28.67 26.07 54.83 12.94 163.68
418 28.58 64.85 210.30 22.85 205.55
419 28.72 52.77 181.93 23.34 225.91
420 28.94 48.32 150.95 21.48 217.34
421 28.93 79.42 97.92 17.91 126.82
422 28.89 40.90 92.49 18.80 201.63
423 28.91 58.41 218.08 23.04 226.81
424 29.01 67.30 200.45 22.36 195.43
425 29.14 36.06 78.08 16.10 184.95
426 29.31 56.56 204.73 23.03 223.73
427 29.22 60.44 217.65 24.44 219.67
428 29.21 50.53 185.00 23.81 228.53
429 29.31 69.71 169.62 23.08 201.58
430 29.28 29.44 64.61 14.94 175.19
431 29.41 14.38 57.22 7.92 120.59
432 29.27 23.94 63.44 12.04 166.74
433 29.24 75.19 130.10 20.14 170.95
434 29.34 44.74 145.48 21.08 223.07
435 29.36 33.92 76.40 16.57 181.26
436 29.45 72.25 135.49 22.26 186.73
437 29.48 62.50 207.67 24.45 211.78
438 29.60 88.00 49.64 12.93 62.87
439 29.55 17.36 59.39 8.82 128.70
440 29.61 54.57 212.88 23.75 225.29
441 29.58 84.76 66.12 16.37 92.74
442 29.57 11.35 65.18 6.49 127.75
443 29.66 46.79 184.70 23.12 222.57
444 29.55 38.16 108.41 20.14 201.97
445 29.66 81.80 83.91 18.88 104.80
446 29.82 21.50 70.49 11.42 143.97
447 29.88 27.30 76.23 14.12 170.79
448 29.89 42.56 152.31 20.59 216.80
449 29.78 31.62 85.65 16.49 188.53
450 29.76 64.72 200.59 24.20 207.61
451 29.96 77.23 101.67 21.40 143.44
452 30.06 52.30 214.28 23.57 225.65
453 30.01 40.15 149.73 21.19 214.45
454 30.16 67.76 168.14 24.32 204.77
455 30.35 58.67 203.36 25.67 221.27
456 30.38 48.93 206.59 24.42 220.33
457 30.44 24.40 98.58 13.17 165.87
458 30.40 73.65 111.84 23.59 172.49
459 30.65 18.93 100.41 10.64 141.50
460 30.57 36.43 160.26 20.26 210.80
461 30.47 34.19 121.94 17.04 194.96
462 30.54 44.69 191.55 22.06 222.80
463 30.52 61.02 199.85 25.54 218.96
464 30.63 29.44 113.75 16.22 184.06
465 30.72 79.34 85.24 21.39 103.16
466 30.67 69.90 129.82 22.88 188.00
467 30.76 8.30 81.94 5.67 99.00
468 30.72 56.43 202.48 26.02 228.57
469 30.80 15.66 103.41 9.82 129.16
470 30.86 50.77 211.90 24.23 225.11
471 30.73 65.86 167.97 25.53 209.81
472 30.87 38.42 183.47 20.24 213.12
473 30.82 86.06 66.75 17.06 69.01
474 30.84 12.00 103.42 7.35 121.52
475 30.97 46.98 213.44 24.43 217.94
476 30.97 63.45 166.94 25.31 215.16
477 30.93 54.11 207.81 25.48 225.84
478 31.07 82.82 76.52 20.25 81.74
479 30.97 31.96 151.99 17.98 188.39
480 31.04 26.88 133.07 14.66 182.74
481 31.10 41.08 201.71 21.02 206.98
482 31.13 21.63 115.76 11.87 149.89
483 31.15 75.49 89.54 23.30 131.22
484 31.34 71.84 102.62 25.57 170.44
485 31.42 43.29 212.71 21.69 214.17
486 31.64 68.19 113.82 25.37 188.36
487 31.67 34.69 199.50 18.20 195.92
488 31.68 58.77 176.53 26.55 219.03
489 31.70 61.14 165.24 27.83 212.66
490 31.71 24.87 172.57 14.56 172.14
491 31.79 52.17 198.39 24.92 226.67
492 31.85 30.38 179.24 16.51 192.29
493 31.79 49.32 205.78 25.21 229.88
494 32.00 87.41 69.13 19.17 50.16
495 31.88 45.69 219.10 22.77 223.37
496 31.85 65.91 132.18 25.94 202.20
497 32.04 77.06 80.68 24.30 102.01
498 31.89 81.05 77.75 21.00 78.97
499 32.04 36.97 207.15 19.61 206.32
500 31.93 56.54 174.58 26.62 222.73
501 32.10 16.69 161.50 9.94 130.97
502 32.17 10.19 139.45 7.01 120.63
503 32.06 39.39 219.50 20.18 203.53
504 32.18 13.56 144.00 8.17 118.83
505 32.20 19.55 169.98 11.62 143.12
506 32.19 28.12 193.91 16.77 184.92
507 32.07 79.61 84.19 24.60 85.23
508 32.18 54.39 174.87 25.88 224.56
509 32.28 32.86 213.07 19.38 195.76
510 32.11 84.93 77.85 22.10 59.31
511 32.41 70.56 88.47 26.35 146.39
512 32.26 73.72 87.58 26.60 125.93
513 32.27 63.18 122.81 26.62 201.69
514 32.39 22.59 181.28 13.32 168.61
515 32.47 41.43 215.24 21.52 199.14
516 32.63 89.84 62.47 17.97 31.08
517 32.57 47.65 208.29 26.01 226.20
518 32.57 83.90 76.73 21.41 49.55
519 32.66 43.71 219.95 22.80 214.52
520 32.88 50.68 180.64 25.62 225.65
521 32.93 60.41 115.31 27.03 200.70
522 32.97 25.96 218.81 16.12 183.29
523 32.95 65.14 108.63 28.30 193.59
524 32.90 68.17 94.30 28.17 163.21
525 33.09 35.84 215.70 20.59 207.43
526 33.02 52.98 173.20 27.99 221.44
527 33.06 58.17 124.09 28.48 209.93
528 33.13 78.65 88.41 24.52 69.42
529 33.24 29.67 221.14 17.91 183.74
530 33.14 55.82 138.87 28.53 216.90
531 33.20 81.65 86.92 25.31 54.99
532 33.33 31.60 230.67 18.70 195.20
533 33.22 38.85 212.23 20.32 206.18
534 33.23 45.48 198.83 23.94 221.51
535 33.29 75.39 86.81 28.20 92.61
536 33.47 8.37 147.54 6.07 112.65
537 33.52 12.20 173.14 8.47 127.74
538 33.50 72.39 83.78 29.59 108.63
539 33.51 15.65 183.33 10.78 142.23
540 33.62 18.35 195.54 11.69 153.72
541 33.61 21.07 213.50 13.00 169.39
542 33.55 33.78 221.99 20.62 197.13
543 33.51 86.60 93.70 24.83 38.73
544 33.59 49.02 171.58 25.82 226.53
545 33.53 62.42 97.81 27.49 184.57
546 33.75 23.62 214.96 13.99 176.68
547 33.62 42.19 199.82 21.98 204.44
548 33.79 27.76 217.31 18.06 186.63
549 33.89 67.05 93.78 31.51 153.81
550 33.94 69.77 86.35 29.43 124.17
551 34.02 46.84 162.11 26.49 223.80
552 34.14 83.56 103.18 28.42 43.01
553 34.07 52.12 130.35 25.78 210.31
554 34.18 5.67 98.20 5.06 76.23
555 34.23 54.38 121.59 28.39 212.35
556 34.29 89.23 93.88 26.74 25.82
557 34.25 37.85 202.09 22.04 213.41
558 34.16 64.48 85.17 29.05 155.63
559 34.17 59.82 96.40 30.22 185.11
560 34.16 56.71 104.14 28.50 195.37
561 34.25 77.54 109.67 31.22 62.64
562 34.39 40.01 192.16 23.05 213.74
563 34.35 44.25 175.76 25.38 211.07
564 34.46 35.93 199.96 20.55 203.36
565 34.53 25.30 218.10 15.60 170.32
566 34.55 74.80 108.88 32.62 70.17
567 34.70 10.80 162.87 8.40 126.14
568 34.61 31.87 213.14 19.79 198.19
