#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
mu12 14A 4 Kruppel even-skipped fushi-tarazu

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - Kr, channel 2 - eve, channel 3 - ftz>
428 25.11 33.73 2.57 6.39 27.46
429 25.19 20.98 3.62 4.42 21.04
430 25.11 46.04 3.11 8.33 37.00
431 25.70 81.66 3.34 40.74 19.89
432 25.36 32.00 3.68 7.45 29.30
433 25.43 36.15 4.42 8.49 28.53
434 25.35 55.72 5.49 14.17 32.17
435 25.42 50.15 4.62 12.19 33.69
436 25.53 37.71 4.18 7.59 30.12
437 25.61 72.94 4.93 42.94 22.22
438 25.71 44.22 4.90 7.44 33.39
439 25.51 46.68 4.32 6.68 32.41
440 25.68 48.80 6.22 9.80 32.80
441 25.89 40.08 4.56 9.00 32.16
442 25.64 74.21 5.50 41.45 25.86
443 26.06 68.58 4.38 37.33 24.04
444 25.98 30.74 4.04 7.48 26.43
445 25.86 52.09 5.11 10.33 32.16
446 26.20 57.04 4.69 17.51 28.72
447 26.15 65.88 4.67 36.19 27.06
448 26.30 70.75 4.83 51.23 27.87
449 26.27 28.47 3.24 9.69 26.56
450 26.56 44.91 4.95 12.51 34.07
451 26.34 78.85 3.64 72.20 22.35
452 26.67 21.77 3.41 8.63 22.76
453 26.49 75.93 4.50 74.74 24.28
454 26.38 34.63 3.78 9.18 30.90
455 26.09 37.82 4.22 7.11 30.33
456 26.73 27.21 3.67 11.39 24.69
457 26.29 62.84 4.73 31.32 23.16
458 26.21 32.16 3.86 12.86 30.71
459 26.47 38.86 4.17 9.75 32.39
460 26.46 51.32 4.81 14.25 29.50
461 26.69 60.51 5.21 35.13 28.93
462 26.58 36.56 4.56 11.67 33.15
463 26.57 33.59 4.73 10.05 28.64
464 26.56 42.52 5.97 15.50 30.07
465 26.43 32.84 4.33 11.00 32.67
466 26.82 72.92 4.67 85.49 24.78
467 26.85 47.93 5.67 9.51 33.69
468 26.72 24.21 3.97 7.24 26.85
